season,round_number,team_name,games,kicks_pg,handballs_pg,disposals_pg,marks_pg,goals_pg,behinds_pg,goal_assists_pg,inside_50s_pg,rebound_50s_pg,tackles_pg,hitouts_pg,frees_for_pg,frees_ag_pg,clearances_pg,clangers_pg,cp_pg,up_pg,eff_disposals_pg,disposal_eff_pct,cont_marks_pg,marks_i50_pg,one_pct_pg,bounces_pg,centre_cl_pg,stoppage_cl_pg,metres_gained_total,turnovers_pg,intercepts_pg,tackles_i50_pg,goal_conv_pct,kicking_ratio,mg_pg,source_game_rows,source_mix
2024,3,Richmond Tigers,3.0,193.0,113.33333333333333,306.3333333333333,71.66666666666667,11.333333333333334,9.666666666666666,7.666666666666667,47.666666666666664,48.0,44.333333333333336,30.666666666666668,15.0,21.0,32.333333333333336,68.66666666666667,126.33333333333333,166.0,,,9.0,8.333333333333334,43.333333333333336,6.666666666666667,,,,,,8.8,0.5396825396825397,0.6300326441784548,,3.0,afl_tables+footywire
2024,3,St Kilda Saints,2.0,234.0,137.0,371.0,97.0,11.5,12.0,6.5,49.5,41.0,50.0,24.5,24.0,15.0,37.0,54.5,132.5,224.5,,,8.0,10.0,43.0,2.5,,,,,,11.0,0.48936170212765956,0.6307277628032345,,2.0,afl_tables+footywire
2024,3,Sydney Swans,3.0,225.66666666666666,132.66666666666666,358.3333333333333,97.66666666666667,15.333333333333334,14.333333333333334,11.0,58.333333333333336,40.0,63.666666666666664,35.666666666666664,20.0,22.666666666666668,36.0,60.666666666666664,133.33333333333334,215.33333333333334,,,7.0,15.666666666666666,59.666666666666664,6.0,,,,,,9.5,0.5168539325842697,0.6297674418604651,,3.0,afl_tables+footywire
2024,3,West Coast Eagles,2.0,176.5,149.0,325.5,70.5,7.5,11.5,6.0,42.0,44.5,50.0,21.5,18.5,16.0,33.0,46.5,121.5,192.5,,,4.5,8.0,40.5,12.0,,,,,,9.4,0.39473684210526316,0.5422427035330261,,2.0,afl_tables+footywire
2024,3,Western Bulldogs,2.0,218.0,154.0,372.0,104.5,13.5,8.5,7.5,54.5,38.5,51.0,32.0,17.5,23.5,38.0,65.5,134.5,242.5,,,12.5,13.5,44.0,10.5,,,,,,12.2,0.6136363636363636,0.5860215053763441,,2.0,afl_tables+footywire
2024,4,Adelaide Crows,3.0,227.66666666666666,132.66666666666666,360.3333333333333,83.33333333333333,7.666666666666667,9.0,4.666666666666667,54.666666666666664,41.0,60.333333333333336,47.333333333333336,20.333333333333332,17.333333333333332,39.333333333333336,60.0,139.0,202.66666666666666,,,5.333333333333333,6.0,54.333333333333336,1.3333333333333333,,,,,,9.9,0.46,0.6318223866790009,,3.0,afl_tables+footywire
2024,4,Brisbane Lions,3.0,215.66666666666666,125.66666666666667,341.3333333333333,98.33333333333333,10.666666666666666,11.666666666666666,7.666666666666667,58.0,33.0,57.0,40.0,19.0,23.333333333333332,37.666666666666664,65.0,128.33333333333334,208.33333333333334,,,9.666666666666666,10.666666666666666,44.666666666666664,2.6666666666666665,,,,,,11.2,0.47761194029850745,0.6318359375,,3.0,afl_tables+footywire
2024,4,Carlton Blues,3.0,219.66666666666666,134.33333333333334,354.0,92.66666666666667,15.333333333333334,11.0,9.333333333333334,58.666666666666664,41.666666666666664,68.0,31.333333333333332,26.0,18.0,35.0,55.333333333333336,137.66666666666666,211.33333333333334,,,12.333333333333334,10.666666666666666,45.0,4.0,,,,,,11.9,0.5822784810126582,0.620527306967985,,3.0,afl_tables+footywire
2024,4,Collingwood Magpies,4.0,204.75,136.5,341.25,82.75,11.75,10.0,7.75,48.0,39.5,62.5,44.5,22.75,21.75,35.0,66.25,131.25,205.75,,,9.0,9.25,43.5,2.75,,,,,,11.1,0.5402298850574713,0.6,,4.0,afl_tables+footywire
2024,4,Essendon Bombers,3.0,217.66666666666666,159.0,376.6666666666667,92.0,14.0,9.0,11.666666666666666,53.333333333333336,42.666666666666664,58.333333333333336,36.333333333333336,17.666666666666668,13.333333333333334,40.0,56.666666666666664,131.66666666666666,232.0,,,9.666666666666666,12.666666666666666,39.0,6.0,,,,,,11.3,0.6086956521739131,0.5778761061946903,,3.0,afl_tables+footywire
2024,4,Fremantle Dockers,3.0,219.33333333333334,160.66666666666666,380.0,101.33333333333333,12.666666666666666,12.0,9.0,48.333333333333336,44.0,63.0,30.333333333333332,19.666666666666668,18.666666666666668,35.333333333333336,54.0,124.0,249.0,,,8.333333333333334,11.666666666666666,38.333333333333336,7.0,,,,,,10.7,0.5135135135135135,0.5771929824561404,,3.0,afl_tables+footywire
2024,4,Geelong Cats,3.0,221.0,138.33333333333334,359.3333333333333,89.33333333333333,13.666666666666666,10.666666666666666,12.0,56.666666666666664,46.666666666666664,72.66666666666667,37.333333333333336,14.333333333333334,19.0,34.666666666666664,60.666666666666664,129.0,212.33333333333334,,,12.666666666666666,13.666666666666666,54.0,3.3333333333333335,,,,,,10.8,0.5616438356164384,0.6150278293135436,,3.0,afl_tables+footywire
2024,4,Gold Coast Suns,3.0,221.33333333333334,133.0,354.3333333333333,86.0,10.666666666666666,11.333333333333334,7.333333333333333,54.666666666666664,37.666666666666664,55.666666666666664,37.333333333333336,21.666666666666668,19.666666666666668,39.333333333333336,60.666666666666664,144.33333333333334,204.0,,,7.0,11.333333333333334,57.333333333333336,3.0,,,,,,11.0,0.48484848484848486,0.6246472248353716,,3.0,afl_tables+footywire
2024,4,Greater Western Sydney Giants,3.0,225.33333333333334,176.0,401.3333333333333,102.0,17.0,12.333333333333334,13.666666666666666,60.0,39.666666666666664,55.0,29.666666666666668,15.333333333333334,20.333333333333332,35.333333333333336,60.666666666666664,142.33333333333334,251.0,,,14.0,17.0,42.333333333333336,9.666666666666666,,,,,,11.7,0.5795454545454546,0.5614617940199336,,3.0,afl_tables+footywire
2024,4,Hawthorn Hawks,3.0,216.33333333333334,146.66666666666666,363.0,102.33333333333333,8.666666666666666,11.666666666666666,6.333333333333333,54.0,36.333333333333336,56.333333333333336,37.666666666666664,17.333333333333332,18.333333333333332,32.666666666666664,55.0,127.66666666666667,233.0,,,9.0,12.666666666666666,44.333333333333336,7.666666666666667,,,,,,11.2,0.4262295081967213,0.5959595959595959,,3.0,afl_tables+footywire
2024,4,Melbourne Demons,4.0,215.0,140.0,355.0,95.0,13.5,9.5,9.5,51.0,45.5,60.5,40.0,21.25,20.0,35.5,59.5,134.75,220.5,,,7.75,9.5,44.25,1.5,,,,,,10.7,0.5869565217391305,0.6056338028169014,,4.0,afl_tables+footywire
2024,4,North Melbourne Kangaroos,3.0,195.33333333333334,149.33333333333334,344.6666666666667,86.0,12.0,7.666666666666667,8.666666666666666,51.333333333333336,37.666666666666664,48.0,31.666666666666668,19.666666666666668,21.333333333333332,37.666666666666664,55.333333333333336,120.33333333333333,215.66666666666666,,,6.666666666666667,12.0,44.0,4.666666666666667,,,,,,8.4,0.6101694915254238,0.5667311411992263,,3.0,afl_tables+footywire
2024,4,Port Adelaide Power,3.0,228.66666666666666,129.0,357.6666666666667,100.0,15.666666666666666,16.333333333333332,11.0,62.0,33.0,53.0,32.0,21.0,18.666666666666668,39.333333333333336,51.333333333333336,123.0,216.33333333333334,,,9.666666666666666,18.666666666666668,38.0,4.666666666666667,,,,,,13.2,0.4895833333333333,0.6393289841565704,,3.0,afl_tables+footywire
2024,4,Richmond Tigers,4.0,205.25,116.5,321.75,81.25,11.25,11.25,8.0,50.5,46.5,48.0,29.25,15.5,19.75,30.75,67.75,125.75,184.0,,,8.75,9.5,45.25,6.75,,,,,,8.8,0.5,0.6379176379176379,,4.0,afl_tables+footywire
2024,4,St Kilda Saints,3.0,227.0,151.0,378.0,95.66666666666667,10.666666666666666,12.333333333333334,7.0,50.0,41.333333333333336,53.666666666666664,25.333333333333332,19.666666666666668,15.333333333333334,35.333333333333336,56.666666666666664,132.66666666666666,234.33333333333334,,,8.666666666666666,11.0,42.333333333333336,4.0,,,,,,11.0,0.463768115942029,0.6005291005291006,,3.0,afl_tables+footywire
2024,4,Sydney Swans,4.0,227.0,137.75,364.75,98.0,14.25,13.5,10.5,57.0,41.25,58.75,32.75,19.0,21.25,34.5,62.75,130.25,225.5,,,6.5,13.5,55.75,7.0,,,,,,9.5,0.5135135135135135,0.6223440712816998,,4.0,afl_tables+footywire
2024,4,West Coast Eagles,3.0,182.66666666666666,137.33333333333334,320.0,75.66666666666667,6.0,11.666666666666666,5.0,45.0,41.333333333333336,51.0,24.0,18.666666666666668,15.333333333333334,34.333333333333336,49.666666666666664,123.66666666666667,186.66666666666666,,,7.666666666666667,9.0,43.333333333333336,9.0,,,,,,9.4,0.33962264150943394,0.5708333333333333,,3.0,afl_tables+footywire
2024,4,Western Bulldogs,3.0,226.66666666666666,161.66666666666666,388.3333333333333,116.33333333333333,14.333333333333334,9.0,9.333333333333334,53.333333333333336,41.666666666666664,54.333333333333336,33.0,16.333333333333332,22.0,34.666666666666664,60.666666666666664,134.33333333333334,256.0,,,15.0,14.0,45.0,10.0,,,,,,12.2,0.6142857142857143,0.5836909871244635,,3.0,afl_tables+footywire
2024,5,Adelaide Crows,4.0,225.25,137.25,362.5,86.75,7.75,10.5,5.5,54.5,40.25,59.75,46.5,20.5,15.25,38.75,54.0,136.5,208.5,,,6.25,6.5,54.75,1.0,,,,,,9.9,0.4246575342465753,0.6213793103448276,,4.0,afl_tables+footywire
2024,5,Brisbane Lions,4.0,217.0,136.25,353.25,97.25,12.0,12.75,8.0,61.25,31.0,58.25,39.0,17.25,21.75,39.0,61.75,133.25,219.0,,,10.25,13.5,45.5,2.75,,,,,,11.2,0.48484848484848486,0.6142958244869073,,4.0,afl_tables+footywire
2024,5,Carlton Blues,4.0,219.5,134.25,353.75,95.75,14.0,11.5,8.25,56.0,40.25,71.0,33.25,22.5,17.5,33.0,53.75,137.25,212.25,,,13.25,10.0,44.0,4.5,,,,,,11.9,0.5490196078431373,0.620494699646643,,4.0,afl_tables+footywire
2024,5,Collingwood Magpies,5.0,202.2,143.4,345.6,81.8,11.6,10.2,8.0,47.8,40.0,64.8,45.8,22.0,21.6,35.6,66.6,133.2,208.0,,,9.0,9.4,45.8,3.4,,,,,,11.1,0.5321100917431193,0.5850694444444444,,5.0,afl_tables+footywire
2024,5,Essendon Bombers,4.0,214.75,161.75,376.5,90.0,12.0,8.25,10.25,50.75,43.0,60.0,35.75,18.25,12.25,37.5,56.75,132.75,231.5,,,8.5,10.75,37.75,7.25,,,,,,11.3,0.5925925925925926,0.5703851261620186,,4.0,afl_tables+footywire
2024,5,Fremantle Dockers,4.0,216.25,161.5,377.75,98.5,11.75,11.25,7.5,47.5,42.5,63.75,31.75,18.75,17.0,37.5,53.0,125.5,245.5,,,7.75,10.5,39.5,7.0,,,,,,10.7,0.5108695652173914,0.5724685638649901,,4.0,afl_tables+footywire
