sport,date,season,home_team,away_team,home_odds_open,home_odds_close,away_odds_open,away_odds_close,total_open,total_close,who_shortened,totals_direction,fav_side,elo_gap_proxy,home_move_pct,away_move_pct,result_margin
AFL,2026-05-02,2026,West Coast,Richmond,1.4,1.37,2.9,3.05,185.5,183.5,HOME,UNDERS,HOME,0.3488,-2.14,5.17,-11.0
AFL,2026-05-02,2026,Essendon,Brisbane,4.5,8.5,1.18,1.07,183.5,191.5,AWAY,OVERS,AWAY,-0.5845,88.89,-9.32,-64.0
AFL,2026-05-01,2026,Adelaide,Port Adelaide,1.36,1.58,3.0,2.4,177.5,175.5,AWAY,UNDERS,HOME,0.3761,16.18,-20.0,1.0
AFL,2026-05-01,2026,Western Bulldogs,Fremantle,2.9,3.15,1.38,1.36,184.5,184.5,AWAY,EVEN,AWAY,-0.3551,8.62,-1.45,-12.0
AFL,2026-04-30,2026,Collingwood,Hawthorn,2.8,4.2,1.4,1.23,178.5,175.5,AWAY,UNDERS,AWAY,-0.3333,50.0,-12.14,0.0
AFL,2026-04-26,2026,GWS Giants,North Melbourne,1.4,1.5,2.95,2.6,184.5,184.5,AWAY,EVEN,HOME,0.3563,7.14,-11.86,7.0
AFL,2026-04-26,2026,Brisbane,Adelaide,1.35,1.25,3.2,4.0,186.5,189.5,HOME,OVERS,HOME,0.4066,-7.41,25.0,52.0
AFL,2026-04-26,2026,St Kilda,West Coast,1.11,1.1,6.5,7.0,185.5,191.5,HOME,OVERS,HOME,0.7083,-0.9,7.69,101.0
AFL,2026-04-25,2026,Fremantle,Carlton,1.15,1.09,5.5,7.5,177.5,173.5,HOME,UNDERS,HOME,0.6541,-5.22,36.36,14.0
AFL,2026-04-25,2026,Port Adelaide,Geelong,4.2,4.0,1.23,1.25,183.5,185.5,HOME,OVERS,AWAY,-0.547,-4.76,1.63,30.0
AFL,2026-04-25,2026,Essendon,Collingwood,2.95,3.2,1.37,1.35,175.5,176.5,AWAY,OVERS,AWAY,-0.3657,8.47,-1.46,-77.0
