season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg
2017/18,2018-02-03,Burnley,Man City,D,1,1,0.622,2.425,0.1187,0.1783,0.7031,8.428,5.609,1.422,1.703,2.422,,,,,,0.16946,0.01408,0.67524,0.49431,0.12631,1.72444,1.21426,,,,,,1487.7,1700.8,-213.1,0,12.45,5.35,7.1,17.8,3,3.0,0.0,2.0,10.0,-8.0,M Atkinson,0.3904761904761905,2.4380952380952383,3.5047619047619047
2017/18,2018-02-04,Liverpool,Tottenham,D,2,2,1.69,1.331,0.4415,0.2675,0.2911,2.265,3.739,3.435,1.72,2.389,,,,,,0.0932,0.19489,0.53661,0.08473,0.58243,1.31878,0.34401,,,,,,1627.7,1627.6,0.1,1,9.2,7.07,2.13,16.27,5,4.0,1.0,12.0,11.0,1.0,J Moss,0.3883495145631068,2.7766990291262137,3.563106796116505
2017/18,2018-02-04,Crystal Palace,Newcastle,D,1,1,1.713,1.017,0.5066,0.2658,0.2275,1.974,3.762,4.395,1.947,2.056,,,,,,0.10282,0.25668,0.539,0.05177,0.70651,1.32489,0.25817,,,,,,1469.1,1437.7,31.5,0,13.25,14.21,-0.96,27.46,5,4.0,1.0,8.0,6.0,2.0,A Marriner,0.47191011235955055,2.932584269662921,3.50561797752809
2017/18,2018-02-05,Watford,Chelsea,H,4,1,0.889,1.798,0.1873,0.2384,0.5742,5.338,4.194,1.741,1.987,2.013,,,,,,0.33006,0.66045,0.05686,0.32974,1.67494,0.2724,0.85386,,,,,,1432.1,1655.2,-223.2,1,11.05,12.02,-0.97,23.07,5,5.0,0.0,2.0,8.0,-6.0,M Dean,0.48623853211009177,2.623853211009174,3.688073394495413
2017/18,2018-02-10,West Ham,Watford,H,2,0,1.619,1.326,0.4387,0.2689,0.2924,2.28,3.718,3.42,1.771,2.297,,,,,,0.13352,0.31507,0.07233,0.08548,0.82396,0.31326,0.34583,,,,,,1472.4,1448.1,24.4,0,12.15,10.88,1.27,23.03,7,5.0,2.0,6.0,5.0,1.0,G Scott,0.5,3.1153846153846154,2.6923076923076925
2017/18,2018-02-10,Everton,Crystal Palace,H,3,1,1.755,1.325,0.4644,0.2609,0.2747,2.153,3.833,3.64,1.682,2.466,,,,,,0.12076,0.28682,0.06805,0.07546,0.76692,0.30227,0.32117,,,,,,1499.5,1468.6,30.9,1,10.1,13.42,-3.32,23.52,7,6.0,1.0,4.0,8.0,-4.0,J Moss,0.38461538461538464,2.7884615384615383,3.5673076923076925
2017/18,2018-02-10,Man City,Leicester,H,5,1,2.914,0.94,0.7294,0.1663,0.1043,1.371,6.013,9.589,1.352,3.839,,,,,,0.02803,0.07322,0.02766,0.01088,0.31552,0.18188,0.11014,,,,,,1699.3,1514.6,184.8,1,5.61,11.3,-5.69,16.91,7,7.0,0.0,10.0,8.0,2.0,M Jones,0.44155844155844154,2.5454545454545454,3.038961038961039
2017/18,2018-02-10,Stoke,Brighton,D,1,1,1.607,0.851,0.4994,0.2743,0.2263,2.003,3.646,4.418,2.245,1.803,,,,,,0.1002,0.24938,0.52664,0.05122,0.6919,1.29353,0.2566,,,,,,1435.2,1460.4,-25.2,0,11.5,18.26,-6.76,29.76,7,7.0,0.0,4.0,5.0,-1.0,R Madley,0.4936708860759494,2.569620253164557,3.3417721518987342
2017/18,2018-02-10,Swansea,Burnley,H,1,0,1.525,1.061,0.4447,0.2786,0.2767,2.249,3.589,3.614,2.091,1.916,,,,,,0.1283,0.30835,0.07763,0.07655,0.81033,0.32659,0.32389,,,,,,1453.4,1492.2,-38.7,0,23.54,13.36,10.18,36.9,7,7.0,0.0,8.0,2.0,6.0,A Marriner,0.4666666666666667,2.922222222222222,3.488888888888889
2017/18,2018-02-10,Tottenham,Arsenal,H,1,0,2.053,1.293,0.5236,0.2418,0.2346,1.91,4.135,4.263,1.539,2.856,,,,,,0.094,0.22696,0.05847,0.05503,0.64703,0.27682,0.26734,,,,,,1638.0,1589.1,48.9,0,7.69,10.55,-2.86,18.24,6,7.0,-1.0,9.0,7.0,2.0,A Taylor,0.42592592592592593,2.8333333333333335,3.7314814814814814
2017/18,2018-02-11,Newcastle,Man United,H,1,0,1.144,1.588,0.2572,0.2569,0.4859,3.888,3.892,2.058,1.945,2.058,,,,,,0.26261,0.55177,0.06602,0.23606,1.35794,0.29699,0.66526,,,,,,1440.0,1637.9,-197.9,0,14.71,10.2,4.51,24.91,7,8.0,-1.0,6.0,12.0,-6.0,C Pawson,0.4444444444444444,2.6222222222222222,3.477777777777778
2017/18,2018-02-11,Huddersfield,Bournemouth,H,4,1,1.214,1.15,0.3652,0.294,0.3408,2.738,3.401,2.935,2.376,1.727,,,,,,0.17301,0.40293,0.08645,0.11611,1.00723,0.34817,0.41665,,,,,,1436.6,1497.2,-60.6,1,15.06,21.72,-6.66,36.78,8,8.0,0.0,0.0,11.0,-11.0,M Oliver,0.4537037037037037,2.814814814814815,3.3703703703703702
2017/18,2018-02-11,Southampton,Liverpool,A,0,2,1.334,1.619,0.296,0.2547,0.4493,3.378,3.926,2.226,1.766,2.305,,,,,,0.13031,0.08763,0.06487,0.3033,0.35102,0.29397,0.80013,,,,,,1469.2,1632.7,-163.5,0,9.05,10.16,-1.11,19.21,8,7.0,1.0,6.0,10.0,-4.0,M Atkinson,0.3867924528301887,2.4339622641509435,3.518867924528302
