Referee,team,games,home_games,pts_pct_with_ref,pts_pct_other_refs,card_pts_vs_team_with_ref,card_pts_vs_team_other_refs,pts_delta,card_delta
T Robinson,Bristol City,18,9,0.278,0.435,1.5,1.651,-0.157,-0.151
O Langford,Reading,18,6,0.259,0.418,1.833,1.757,-0.159,0.077
J Brooks,Stoke,11,7,0.273,0.432,2.818,1.676,-0.159,1.142
D Webb,Birmingham,19,11,0.246,0.406,1.684,1.862,-0.16,-0.178
G Eltringham,Bristol City,19,8,0.281,0.442,2.158,1.639,-0.161,0.518
A Davies,Ipswich,10,6,0.233,0.398,2.3,1.713,-0.165,0.587
S Duncan,Rotherham,10,2,0.133,0.301,2.0,1.655,-0.167,0.345
D Whitestone,Hull,14,6,0.238,0.406,1.143,1.819,-0.168,-0.677
K Stroud,QPR,23,10,0.261,0.429,2.696,1.861,-0.168,0.835
K Stroud,Cardiff,13,7,0.308,0.482,1.462,1.854,-0.174,-0.392
T Robinson,Leeds,17,8,0.412,0.589,2.176,1.839,-0.177,0.337
S Hooper,Birmingham,15,7,0.222,0.401,1.733,1.844,-0.179,-0.111
T Robinson,Aston Villa,10,4,0.367,0.547,1.2,1.805,-0.18,-0.605
A Woolmer,Reading,13,8,0.256,0.437,1.231,1.715,-0.181,-0.484
A Woolmer,Nott'm Forest,10,7,0.267,0.45,2.2,1.846,-0.183,0.354
A Madley,Bristol City,10,1,0.267,0.45,1.7,1.707,-0.184,-0.007
P Bankes,Aston Villa,11,5,0.364,0.549,2.0,1.74,-0.185,0.26
G Ward,Middlesbrough,11,5,0.333,0.524,1.818,1.728,-0.19,0.09
D Webb,Cardiff,16,7,0.25,0.441,1.75,1.892,-0.191,-0.142
J Linington,Wigan,10,2,0.167,0.358,2.8,1.977,-0.192,0.823
D Bond,Hull,14,7,0.238,0.43,1.357,1.715,-0.192,-0.358
T Harrington,Cardiff,11,5,0.303,0.497,2.182,1.721,-0.194,0.461
D Coote,Ipswich,10,5,0.333,0.527,2.4,1.75,-0.194,0.65
T Robinson,West Brom,16,7,0.354,0.551,2.062,1.799,-0.197,0.263
J Linington,Middlesbrough,15,6,0.333,0.534,1.8,1.847,-0.201,-0.047
S Martin,Wigan,11,7,0.152,0.353,1.727,2.009,-0.202,-0.282
D Whitestone,Middlesbrough,11,4,0.303,0.508,2.0,1.749,-0.205,0.251
K Stroud,Blackburn,14,5,0.238,0.445,1.786,1.92,-0.207,-0.134
G Eltringham,QPR,18,8,0.204,0.416,1.778,2.03,-0.212,-0.252
D Bond,Sheffield Weds,16,10,0.25,0.462,1.938,1.899,-0.212,0.039
O Langford,Swansea,15,10,0.267,0.486,2.733,1.7,-0.22,1.033
J Busby,Coventry,11,5,0.273,0.497,1.727,1.89,-0.224,-0.163
D Webb,Watford,10,4,0.3,0.526,2.1,2.127,-0.226,-0.027
