Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HY,AY,HR,AR,Season,home_card_pts,away_card_pts
2014-10-04,Derby,Millwall,M Haywood,0.0,0.0,D,4.0,4.0,0.0,0.0,2014/15,4.0,4.0
2014-10-04,Brentford,Reading,R East,3.0,1.0,H,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-10-04,Bolton,Bournemouth,A Marriner,1.0,2.0,A,3.0,1.0,0.0,1.0,2014/15,3.0,3.0
2014-10-04,Blackburn,Huddersfield,N Miller,0.0,0.0,D,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-10-04,Charlton,Birmingham,P Tierney,1.0,1.0,D,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-10-05,Nott'm Forest,Ipswich,J Linington,2.0,2.0,D,1.0,0.0,0.0,0.0,2014/15,1.0,0.0
2014-10-17,Rotherham,Leeds,K Stroud,2.0,1.0,H,3.0,4.0,0.0,0.0,2014/15,3.0,4.0
2014-10-18,Wigan,Brentford,T Harrington,0.0,0.0,D,2.0,5.0,0.0,0.0,2014/15,2.0,5.0
2014-10-18,Sheffield Weds,Watford,J Simpson,0.0,3.0,A,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-10-18,Reading,Derby,D Deadman,0.0,3.0,A,2.0,4.0,0.0,0.0,2014/15,2.0,4.0
2014-10-18,Millwall,Wolves,D Drysdale,3.0,3.0,D,1.0,6.0,1.0,0.0,2014/15,3.0,6.0
2014-10-18,Ipswich,Blackburn,J Adcock,1.0,1.0,D,1.0,1.0,0.0,1.0,2014/15,1.0,3.0
2014-10-18,Cardiff,Nott'm Forest,M Jones,2.0,1.0,H,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-10-18,Fulham,Norwich,G Salisbury,1.0,0.0,H,2.0,0.0,0.0,0.0,2014/15,2.0,0.0
2014-10-18,Birmingham,Bolton,M Haywood,0.0,1.0,A,1.0,1.0,1.0,0.0,2014/15,3.0,1.0
2014-10-18,Huddersfield,Blackpool,D Bond,4.0,2.0,H,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-10-18,Brighton,Middlesbrough,A D'Urso,1.0,2.0,A,2.0,4.0,0.0,0.0,2014/15,2.0,4.0
2014-10-18,Bournemouth,Charlton,J Linington,1.0,0.0,H,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-10-21,Wolves,Middlesbrough,C Berry,2.0,0.0,H,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-10-21,Wigan,Millwall,E Ilderton,0.0,0.0,D,0.0,3.0,0.0,0.0,2014/15,0.0,3.0
2014-10-21,Watford,Nott'm Forest,D Whitestone,2.0,2.0,D,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-10-21,Rotherham,Fulham,M Brown,3.0,3.0,D,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-10-21,Charlton,Bolton,S Hooper,2.0,1.0,H,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-10-21,Norwich,Leeds,M Clattenburg,1.0,1.0,D,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-10-21,Brentford,Sheffield Weds,O Langford,0.0,0.0,D,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-10-21,Bournemouth,Reading,M Haywood,3.0,0.0,H,0.0,0.0,0.0,0.0,2014/15,0.0,0.0
2014-10-21,Blackpool,Derby,K Wright,0.0,1.0,A,3.0,1.0,0.0,0.0,2014/15,3.0,1.0
2014-10-21,Blackburn,Birmingham,R Madley,1.0,0.0,H,2.0,0.0,0.0,1.0,2014/15,2.0,2.0
2014-10-21,Cardiff,Ipswich,D Coote,3.0,1.0,H,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-10-21,Huddersfield,Brighton,G Sutton,1.0,1.0,D,0.0,3.0,0.0,1.0,2014/15,0.0,5.0
2014-10-24,Fulham,Charlton,K Stroud,3.0,0.0,H,0.0,0.0,0.0,0.0,2014/15,0.0,0.0
2014-10-25,Middlesbrough,Watford,J Adcock,1.0,1.0,D,4.0,1.0,0.0,0.0,2014/15,4.0,1.0
2014-10-25,Sheffield Weds,Norwich,S Attwell,0.0,0.0,D,4.0,3.0,0.0,0.0,2014/15,4.0,3.0
2014-10-25,Reading,Blackpool,G Ward,3.0,0.0,H,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-10-25,Nott'm Forest,Blackburn,O Langford,1.0,3.0,A,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-10-25,Millwall,Cardiff,S Duncan,1.0,0.0,H,2.0,0.0,0.0,0.0,2014/15,2.0,0.0
2014-10-25,Ipswich,Huddersfield,R Clark,2.0,2.0,D,3.0,0.0,0.0,0.0,2014/15,3.0,0.0
2014-10-25,Derby,Wigan,R Madley,1.0,2.0,A,1.0,5.0,0.0,0.0,2014/15,1.0,5.0
2014-10-25,Brighton,Rotherham,M Bull,1.0,1.0,D,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-10-25,Bolton,Brentford,M Heywood,3.0,1.0,H,6.0,0.0,0.0,0.0,2014/15,6.0,0.0
2014-10-25,Birmingham,Bournemouth,K Hill,0.0,8.0,A,1.0,4.0,1.0,0.0,2014/15,3.0,4.0
