match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,hk,ak,kickoff_utc_original,date_repair_source
ucl-2024-25-067,2024-25,league_phase,Matchday 4,2024-11-06T20:00:00+00:00,date_only,vfb-stuttgart,atalanta-bc,VfB Stuttgart (GER),Atalanta BC (ITA),0,2,openfootball,2024-09-17T00:00:00+00:00,vfb-stuttgart,atalanta,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-068,2024-25,league_phase,Matchday 4,2024-11-06T20:00:00+00:00,date_only,fc-internazionale-milano,arsenal-fc,FC Internazionale Milano (ITA),Arsenal FC (ENG),1,0,openfootball,2024-09-17T00:00:00+00:00,internazionale,arsenal,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-069,2024-25,league_phase,Matchday 4,2024-11-06T20:00:00+00:00,date_only,paris-saint-germain-fc,club-atl-tico-de-madrid,Paris Saint-Germain FC (FRA),Club Atlético de Madrid (ESP),1,2,openfootball,2024-09-17T00:00:00+00:00,paris-saint-germain,atletico-de-madrid,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-070,2024-25,league_phase,Matchday 4,2024-11-06T20:00:00+00:00,date_only,feyenoord-rotterdam,fc-red-bull-salzburg,Feyenoord Rotterdam (NED),FC Red Bull Salzburg (AUT),1,3,openfootball,2024-09-17T00:00:00+00:00,feyenoord,red-bull-salzburg,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-071,2024-25,league_phase,Matchday 4,2024-11-06T20:00:00+00:00,date_only,fk-crvena-zvezda,fc-barcelona,FK Crvena Zvezda (SRB),FC Barcelona (ESP),2,5,openfootball,2024-09-17T00:00:00+00:00,red-star-belgrade,barcelona,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-072,2024-25,league_phase,Matchday 4,,date_only,fc-bayern-m-nchen,sport-lisboa-e-benfica,FC Bayern München (GER),Sport Lisboa e Benfica (POR),1,0,openfootball,2024-09-17T00:00:00+00:00,bayern-munchen,sport-lisboa-e-benfica,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-073,2024-25,league_phase,Matchday 5,2024-11-26T17:45:00+00:00,date_only,k-slovan-bratislava,ac-milan,ŠK Slovan Bratislava (SVK),AC Milan (ITA),2,3,openfootball,2024-09-17T00:00:00+00:00,k-slovan-bratislava,ac-milan,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-074,2024-25,league_phase,Matchday 5,2024-11-26T17:45:00+00:00,date_only,ac-sparta-praha,club-atl-tico-de-madrid,AC Sparta Praha (CZE),Club Atlético de Madrid (ESP),0,6,openfootball,2024-09-17T00:00:00+00:00,ac-sparta-praha,atletico-de-madrid,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-075,2024-25,league_phase,Matchday 5,,date_only,sporting-clube-de-portugal,arsenal-fc,Sporting Clube de Portugal (POR),Arsenal FC (ENG),1,5,openfootball,2024-09-17T00:00:00+00:00,sporting-clube-de-portugal,arsenal,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-076,2024-25,league_phase,Matchday 5,2024-11-26T20:00:00+00:00,date_only,bsc-young-boys,atalanta-bc,BSC Young Boys (SUI),Atalanta BC (ITA),1,6,openfootball,2024-09-17T00:00:00+00:00,young-boys,atalanta,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-077,2024-25,league_phase,Matchday 5,2024-11-26T20:00:00+00:00,date_only,fc-bayern-m-nchen,paris-saint-germain-fc,FC Bayern München (GER),Paris Saint-Germain FC (FRA),1,0,openfootball,2024-09-17T00:00:00+00:00,bayern-munchen,paris-saint-germain,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-078,2024-25,league_phase,Matchday 5,2024-11-26T20:00:00+00:00,date_only,fc-barcelona,stade-brestois-29,FC Barcelona (ESP),Stade Brestois 29 (FRA),3,0,openfootball,2024-09-17T00:00:00+00:00,barcelona,stade-brestois-29,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-079,2024-25,league_phase,Matchday 5,2024-11-26T20:00:00+00:00,date_only,fc-internazionale-milano,rb-leipzig,FC Internazionale Milano (ITA),RB Leipzig (GER),1,0,openfootball,2024-09-17T00:00:00+00:00,internazionale,rb-leipzig,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-080,2024-25,league_phase,Matchday 5,2024-11-26T20:00:00+00:00,date_only,manchester-city-fc,feyenoord-rotterdam,Manchester City FC (ENG),Feyenoord Rotterdam (NED),3,3,openfootball,2024-09-17T00:00:00+00:00,manchester-city,feyenoord,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-081,2024-25,league_phase,Matchday 5,2024-11-26T20:00:00+00:00,date_only,bayer-04-leverkusen,fc-red-bull-salzburg,Bayer 04 Leverkusen (GER),FC Red Bull Salzburg (AUT),5,0,openfootball,2024-09-17T00:00:00+00:00,bayer-leverkusen,red-bull-salzburg,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-082,2024-25,league_phase,Matchday 5,2024-11-27T17:45:00+00:00,date_only,sk-sturm-graz,girona-fc,SK Sturm Graz (AUT),Girona FC (ESP),1,0,openfootball,2024-09-17T00:00:00+00:00,sk-sturm-graz,girona,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-083,2024-25,league_phase,Matchday 5,2024-11-27T17:45:00+00:00,date_only,fk-crvena-zvezda,vfb-stuttgart,FK Crvena Zvezda (SRB),VfB Stuttgart (GER),5,1,openfootball,2024-09-17T00:00:00+00:00,red-star-belgrade,vfb-stuttgart,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-084,2024-25,league_phase,Matchday 5,,date_only,as-monaco-fc,sport-lisboa-e-benfica,AS Monaco FC (MCO),Sport Lisboa e Benfica (POR),2,3,openfootball,2024-09-17T00:00:00+00:00,as-monaco,sport-lisboa-e-benfica,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-085,2024-25,league_phase,Matchday 5,2024-11-27T20:00:00+00:00,date_only,aston-villa-fc,juventus-fc,Aston Villa FC (ENG),Juventus FC (ITA),0,0,openfootball,2024-09-17T00:00:00+00:00,aston-villa,juventus,2024-09-17T00:00:00+00:00,sofascore_event
