race_id,race_date,track_slug,race_number,snapshot_version,fold,going_bucket,distance_metres,completed_races,same_regime_races,state_reliability,state_early,state_middle,state_late,actual_label,v0_prob_even,meta_v0_prob_even,live_prob_even,safe_live_prob_even,v0_prob_fast,meta_v0_prob_fast,live_prob_fast,safe_live_prob_fast,v0_prob_slow,meta_v0_prob_slow,live_prob_slow,safe_live_prob_slow,v0_prob_very_fast_or_collapse,meta_v0_prob_very_fast_or_collapse,live_prob_very_fast_or_collapse,safe_live_prob_very_fast_or_collapse,actual_early_score,v0_early_score,meta_v0_early_score,live_early_score,actual_middle_score,v0_middle_score,meta_v0_middle_score,live_middle_score,actual_late_score,v0_late_score,meta_v0_late_score,live_late_score
2025-10-11|caulfield|7,2025-10-11,caulfield,7,V6,2,good,1600,6,6,0.5611400199096256,-0.7008005825658548,-0.12631017406160872,0.5308140531377029,very_fast_or_collapse,0.2536229550437148,0.27748346683063857,0.20479076784931727,0.23409008016595578,0.1558726813300295,0.06375008923755701,0.056776262150385524,0.1162341136581719,0.4557772232369383,0.5554170392253018,0.7080186182076988,0.5566737812252425,0.1347271403893173,0.10334940470650245,0.03041435179259834,0.09300202495062972,1.2658920775683982,-0.6653996655149914,-1.070329630638855,-1.4348863779504293,-0.5138977215060273,-0.0802421205193904,-0.21213190133289067,0.0964879242968999,0.6557549050466935,-0.1981378762353323,-0.3771522510602503,1.078847841504866
2025-10-11|caulfield|8,2025-10-11,caulfield,8,V7,2,good,1600,7,7,0.610592274976352,-0.27292363369983114,-0.1936725412793319,0.5210903628052485,very_fast_or_collapse,0.25702696638401,0.28923056899094235,0.2663347540958757,0.2607500814687563,0.134358599481751,0.05357562046649298,0.06985245585729946,0.10855614203197039,0.39306701002852,0.5527777144673673,0.61733185932171,0.482772949745796,0.2155474241057189,0.10441609607519728,0.046480930725114736,0.14792082675347723,0.9433095404274184,-0.6653996655149914,-0.9758719408771943,-0.6470449561507546,1.7665234176768403,-0.0802421205193904,-0.12617631224348372,0.058121302287522686,-2.660491329046577,-0.1981378762353323,-0.4707702979604079,0.9031652523415108
2025-10-11|caulfield|9,2025-10-11,caulfield,9,V8,2,good,1100,8,8,0.49452343411957556,-0.09544128368301169,0.144159075520735,-0.08063289754624767,very_fast_or_collapse,0.319832890485007,0.2746130123586534,0.18965824510082244,0.2677630323313332,0.1173640477088781,0.09274376642426674,0.12167661931114894,0.11908907634978644,0.3389066047249645,0.3732596514016732,0.4178659345889756,0.37049033667056896,0.2238964570811503,0.2593835698154066,0.2707992009990531,0.2426575546483114,1.0051234847102146,-0.4419014922859545,-0.3964838331639837,-0.15262964664453157,0.8443625063077357,-0.4325031459263254,0.12094633689656023,0.3104130858064713,-0.197256731545043,-0.0426934540083431,-0.7521145833487799,0.055846919329680805
2025-10-11|caulfield|10,2025-10-11,caulfield,10,V9,2,good,1200,9,9,0.5813471928923759,0.10009808167772875,0.2674294437788299,-0.10085047991282355,slow,0.2827654102567775,0.2503796221018058,0.28099669881599254,0.2820579256804635,0.1209835295112462,0.07053505861886701,0.10348061060599135,0.11398236194914427,0.3832091911296523,0.48284866141413146,0.36959016399016875,0.37776158027385887,0.2130418691023238,0.19623665786519567,0.24593252658784734,0.22619813209653322,-1.564443844897107,-0.1378477503292568,-0.5102015381315993,0.2338991966306243,-0.0105389181168196,-0.1991185191495843,0.06577903960605858,0.41252215911005985,0.0092395994448764,-0.0108947092069428,-0.6121469008039354,0.0401778726306099
2025-10-18|caulfield|1,2025-10-18,caulfield,1,V0,2,good,1400,0,0,0.0,0.0,0.0,0.0,fast,0.4258072535631594,0.299985517357453,0.299985517357453,0.3754785590808768,0.0973430716703808,0.05475381100076666,0.05475381100076666,0.08030736740253513,0.3384204217073761,0.4930384167803251,0.4930384167803251,0.40026761973655567,0.1384292530590836,0.15222225486145535,0.15222225486145535,0.1439464537800323,0.8719767926566812,-0.6044350141249326,-0.42798807615491313,-0.42798807615491313,-2.193274147948354,-0.093845352313132,-0.4415777450276839,-0.4415777450276839,-0.2517465510722518,-0.0932654958468727,-0.08306052788435928,-0.08306052788435928
2025-10-18|caulfield|2,2025-10-18,caulfield,2,V1,2,good,2000,1,1,0.15536240349696362,0.13547241030071547,-0.3407523431530113,-0.03911194924665615,slow,0.3293512708209604,0.2665508135470475,0.2815690612979601,0.31023838701176026,0.0980103238636466,0.05982025614792601,0.0716362689825709,0.08746070191121631,0.4322741152018227,0.5323935414455964,0.5201722869027143,0.46743338388217937,0.1403642901135702,0.14123538885942996,0.12662238281675467,0.134867527194844,-2.6819987595755657,-0.4958209948265083,-0.5616410435947655,-0.3691800885493586,1.283053850733669,-0.1855431829808823,-0.45519398279365575,-0.7101962953650239,-0.2910960119846336,-0.1022802644212175,-0.11278066581860902,-0.07115270615453811
2025-10-18|caulfield|3,2025-10-18,caulfield,3,V2,2,good,2000,2,2,0.39527322669938203,-0.7299230036049598,0.18417175729290358,-0.11140650781710144,slow,0.330129562002404,0.254921326953115,0.2979152546199782,0.31724383904943365,0.0927486550000613,0.05979256705278849,0.06411010809173992,0.08129323623673275,0.4360842445767548,0.5396583856961069,0.5569998399600924,0.48445048273008984,0.1410375384207798,0.1456277202979897,0.08097479732818952,0.11701244198374368,-1.0815798569121668,-0.4958209948265083,-0.5835613754305733,-1.0133092955511498,-0.9990577414803656,-0.1855431829808823,-0.3927224434950998,0.27810417046787084,-1.0578855069685518,-0.1022802644212175,-0.17882737855784955,0.13555795735043266
2025-10-18|caulfield|4,2025-10-18,caulfield,4,V3,2,good,1200,3,3,0.3296865842847032,-0.14736932678657869,-0.36105947487471746,-0.1571206117437675,fast,0.4164781171016457,0.361221397130083,0.36109548613419795,0.39432506471466655,0.1368707871303916,0.0661782329212441,0.08209826462375633,0.1149617781277375,0.2833151662821199,0.3890831941329326,0.4054553972170666,0.33217125865609853,0.1633359294858427,0.1835171758157404,0.15135085202497905,0.15854189850149725,1.1305749873131488,-0.2634866572863431,-0.2106630298628358,-0.1280599077701185,0.1473025796558068,-0.1458937537746499,-0.2443521365050836,-0.3666946379218377,0.08431134493458,-0.1638459878084309,-0.2567107239263574,-0.21211887978952845
2025-10-18|caulfield|5,2025-10-18,caulfield,5,V4,2,good,1100,4,4,0.4353445534565031,0.18241849353905595,-0.17984165029720392,-0.07343089830905761,even,0.3919491954474872,0.24717024027181142,0.3204450608119517,0.363347541593273,0.1017198859826536,0.06828218744362759,0.1037755870473574,0.10254216640853511,0.3246770248892227,0.44298133947510454,0.3579936255132035,0.33800366513881497,0.1816538936806363,0.2415662328094565,0.2177857266274874,0.19610662685937674,-0.0562075632897154,-0.4452592052204724,-0.3066220251082332,0.2201291645119765,-0.1107372888692908,-0.1920505063326234,-0.09765453292909826,0.0002743943338275323,-0.4856333468231478,0.1616986769707453,-0.4238889202927144,-0.022179937171821595
2025-10-18|caulfield|6,2025-10-18,caulfield,6,V5,2,good,1000,5,5,0.49196374138409105,0.10395867273491267,-0.13821619474267022,-0.15113437092622395,very_fast_or_collapse,0.3853654391987673,0.301336238813334,0.35892978885029614,0.37479117905937887,0.1370407984567662,0.1030572989408551,0.15103176682788025,0.1426371858052118,0.3184818059549574,0.32313789741979565,0.2269328883416395,0.28186223890963025,0.1591119563895089,0.2724685648260152,0.2631055559801841,0.200709396225779,1.3856601112138764,-0.4419014922859545,-0.2551985125783268,0.29456162083462334,0.8586864893158781,-0.4325031459263254,-0.028231417334860093,0.16111705799350254,-1.1099936052778017,-0.0426934540083431,-0.5748783825514038,-0.1900499955902313
2025-10-18|caulfield|7,2025-10-18,caulfield,7,V6,2,good,1600,6,6,0.49103005479053824,0.039316900327105414,-0.07348329953204094,-0.2588187039037092,slow,0.3587529176814285,0.28759305578533606,0.3193302741486186,0.3429838602683045,0.129057086745125,0.06632647369042956,0.09803712904941747,0.116649103666842,0.3904001527676703,0.515422130103184,0.45614639803237306,0.4166986508735514,0.1217898428057761,0.13065834042105023,0.12648619876959083,0.123668385191302,-0.7638152114072733,-0.6653996655149914,-0.8696438109491844,-0.3654616704347992,0.5111929966559473,-0.0802421205193904,-0.14558114142850875,-0.040082113107399106,-0.003606902457101,-0.1981378762353323,-0.4293444321555179,-0.13628324619768048
2025-10-18|caulfield|8,2025-10-18,caulfield,8,V7,2,good,1400,7,7,0.5702919703848935,0.04222504669469638,0.003728830419937802,-0.20784020713766554,slow,0.4441161220624581,0.2869716691765265,0.4097594026399131,0.4303734342934401,0.1002802069466566,0.0716742357014211,0.1009481866274383,0.10054739881896928,0.3273726969322971,0.4362636799291574,0.2593790788631113,0.3001752497046228,0.128230974058588,0.20509041519289492,0.22991333186953716,0.16890391718296766,-0.7200644594412231,-0.3693037860761984,-0.4160295995218055,0.26698567339024226,-1.0801285588820912,-0.1645417671907071,-0.012499935016720864,0.345414685926861,1.3062321046201717,-0.2052907878615527,-0.5285254471251205,-0.1756466169248889
2025-10-18|caulfield|9,2025-10-18,caulfield,9,V8,2,good,2400,8,8,0.3434030167286669,-0.25816559117592647,-0.04379355782682354,-0.04632484413177468,slow,0.2619326106909592,0.25019085498743976,0.17712187389739592,0.22800831597353388,0.1104464913920137,0.07647619469836366,0.06799147336153376,0.09346448417982173,0.4686292874035151,0.5203611141794898,0.5422975935488169,0.49809660986163584,0.1589916105135119,0.15297183613470675,0.21258905919225335,0.1804305899850085,-3.2117082783660518,-0.5468329497271784,-0.8584491357094646,-0.5483315368017543,-1.1956881645266977,-0.2889370403473303,-0.04909413895230333,0.2402930635546909,-1.751448882508792,-0.2009275683744046,-0.5951975093386053,-0.7142524164091396
2025-10-18|caulfield|10,2025-10-18,caulfield,10,V9,2,good,1400,9,9,0.5898280800328292,-0.21963641779488216,-0.22886100792386369,0.017504043655699845,slow,0.4373443477229957,0.22754704442007156,0.18151232112962795,0.33501153708564857,0.0811098387836739,0.08715952083558111,0.11862963183604808,0.09611775600462358,0.378565812507136,0.43360922028805604,0.3294373929034784,0.35891444466567296,0.1029800009861943,0.2516842144562913,0.3704206541308456,0.2099562622440548,-0.6167640728547165,-0.5778822605310765,-0.5602556918087469,-0.10531513017435806,0.3254535832439489,-0.2893301257914973,0.1489561272698771,0.5084765516164134,-1.315731974471953,-0.1738621972107983,-0.7516747642339693,-0.056164267080076324
2025-10-25|the-valley|1,2025-10-25,the-valley,1,V0,2,good,1000,0,0,0.0,0.0,0.0,0.0,very_fast_or_collapse,0.3995690378005778,0.29008441852018707,0.29008441852018707,0.3557751900884215,0.1293821700837517,0.07280907645945885,0.07280907645945885,0.10675293263403454,0.3190348065589655,0.4128064706134914,0.4128064706134914,0.35654347218077587,0.1520139855567048,0.22430003440686264,0.22430003440686264,0.18092840509676794,4.0,-0.4452592052204724,-0.21982976608670912,-0.21982976608670912,-2.610931972167512,-0.1920505063326234,-0.34141248680574154,-0.34141248680574154,1.036412630415269,0.1616986769707453,-0.15921637708980077,-0.15921637708980077
2025-10-25|the-valley|2,2025-10-25,the-valley,2,V1,2,good,1200,1,1,0.2637669986665615,1.055067994666246,-0.688677690021191,0.27337144890475173,fast,0.3573960200011297,0.3736678061490134,0.49474429164305345,0.41233532865789924,0.16836311562017,0.06846867297688453,0.12010081901310186,0.14905819697734274,0.3284601736319323,0.4093824122568124,0.2246447596196099,0.28693400802700336,0.1457806907467679,0.14848110861728972,0.16051012972423484,0.15167246633775466,0.8897537678201879,-0.2634866572863431,-0.33978233576441425,0.7714923051075734,0.1580837717523253,-0.1458937537746499,-0.4258565729634133,-0.7549259215575364,-0.6899962941772091,-0.1638459878084309,-0.08420662705287821,0.6256211613896832
2025-10-25|the-valley|3,2025-10-25,the-valley,3,V2,2,good,1200,2,2,0.44421244316632363,0.9125316953981119,-0.39031622272400246,-0.019370912462351408,even,0.3636220706373142,0.3793888957140533,0.5830237294279097,0.45138273415355246,0.1483634982841733,0.061152966236898636,0.11047082277637944,0.13320642808105576,0.2903557698708631,0.4019396140241697,0.14203003890184912,0.2310254774832575,0.1976586612076493,0.15751852402487831,0.16447540889386167,0.18438536028213426,0.0430526016687205,-0.2634866572863431,-0.2504638831976888,0.9099327384020518,-1.180358829084038,-0.1458937537746499,-0.33478664367449606,-0.16898618407006644,0.2170774858085609,-0.1638459878084309,-0.1746595445704426,0.5763783626429464
2025-10-25|the-valley|4,2025-10-25,the-valley,4,V3,2,good,1600,3,3,0.3747889759505116,0.447123058297323,-0.3777360242684042,0.025495592861466077,slow,0.3020129818986691,0.2044635090920374,0.27699210143374325,0.2920046297126988,0.0877504927048145,0.09091193978027065,0.1471007459013662,0.1114905939834352,0.5014000057106037,0.47529542066168223,0.29480660582076146,0.4187626457546668,0.1088365196859124,0.22932913046600978,0.281100546844129,0.17774213054919905,-0.6580397653430268,-0.635334453832482,-0.5802396250936501,0.20766104663135776,-0.3854232911294817,-0.4126052375048022,-0.23707172434659782,-0.03574333944427628,0.3529312113540348,0.031689046116367,-0.3917238468847273,0.007641001633882413
