season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg,h_corners_won,h_corners_conceded,a_corners_won,a_corners_conceded
2021/22,2021-12-11,Huddersfield,Coventry,D,1,1,1.405,0.994,0.4337,0.2889,0.2774,2.306,3.461,3.605,2.325,1.755,2.95,3.31,2.82,2.34,1.74,0.08834,0.18809,0.50562,0.07694,0.56861,1.24157,0.32487,27.93,-4.36,-21.78,0.65,-0.85,1466.1,1503.1,-37.1,0,,,,,7,7.0,0.0,4.0,6.0,-2.0,J Smith,0.5,2.888888888888889,3.388888888888889,4.5,4.0,6.2,4.7
2021/22,2021-12-11,Bournemouth,Blackburn,A,0,2,2.163,0.977,0.5955,0.2284,0.176,1.679,4.378,5.68,1.647,2.546,1.78,4.0,5.3,1.97,2.0,0.34452,0.35466,0.05218,0.67889,0.90518,0.25931,1.73699,6.02,-8.63,-6.69,19.61,-21.45,1590.6,1526.4,64.2,0,,,,,8,7.0,1.0,6.0,13.0,-7.0,S Hooper,0.4492753623188406,2.6666666666666665,3.3405797101449277,5.4,4.5,3.1,5.2
2021/22,2021-12-11,Hull,Bristol City,D,2,2,1.572,1.522,0.3926,0.2673,0.3401,2.547,3.741,2.94,1.673,2.485,2.04,3.65,4.09,2.16,1.84,0.08993,0.15414,0.53685,0.11567,0.49857,1.31938,0.41566,-19.91,-2.43,39.12,29.11,-25.96,1440.4,1445.5,-5.0,1,,,,,7,7.0,0.0,13.0,7.0,6.0,G Ward,0.42201834862385323,2.2477064220183487,3.302752293577982,5.9,3.8,4.2,6.0
2021/22,2021-12-11,Derby,Blackpool,H,1,0,1.505,1.222,0.4158,0.2768,0.3074,2.405,3.613,3.254,1.95,2.053,2.5,3.25,3.35,2.47,1.63,0.14524,0.34124,0.07662,0.09447,0.87745,0.32407,0.36724,3.95,-10.05,2.95,26.67,-20.6,1446.0,1483.0,-37.0,0,,,,,7,7.0,0.0,5.0,3.0,2.0,A Woolmer,0.37606837606837606,2.5128205128205128,2.8290598290598292,3.9,5.0,3.9,5.0
2021/22,2021-12-11,Birmingham,Cardiff,D,2,2,1.153,1.493,0.3231,0.2827,0.3942,3.095,3.537,2.537,2.028,1.973,2.52,3.5,3.2,2.22,1.77,0.08659,0.10438,0.5145,0.1554,0.3902,1.26333,0.50122,-18.58,-1.05,26.13,9.47,-10.29,1462.5,1464.8,-2.3,1,,,,,7,7.0,0.0,4.0,9.0,-5.0,J Simpson,0.4269005847953216,2.508771929824561,3.4210526315789473,5.2,4.3,4.4,5.3
2021/22,2021-12-11,Preston,Barnsley,H,2,1,1.495,1.027,0.4744,0.2797,0.2459,2.108,3.575,4.067,2.165,1.859,1.84,3.88,4.84,2.16,1.81,0.11222,0.27622,0.07824,0.06045,0.74564,0.3281,0.28218,-12.71,8.53,19.01,-0.23,-2.64,1487.7,1433.0,54.7,1,,,,,7,7.0,0.0,4.0,2.0,2.0,K Stroud,0.4838709677419355,2.752688172043011,3.7204301075268815,4.6,5.3,5.0,6.0
2021/22,2021-12-11,Stoke,Middlesbrough,D,0,0,1.258,1.147,0.3995,0.2951,0.3053,2.503,3.389,3.275,2.317,1.759,2.54,3.3,3.23,2.41,1.72,0.08429,0.15964,0.49687,0.09323,0.51008,1.22041,0.36433,1.48,-2.63,-1.37,4.01,-2.22,1512.0,1486.3,25.7,0,,,,,6,7.0,-1.0,9.0,8.0,1.0,M Salisbury,0.48,2.68,2.68,5.3,5.4,4.2,5.0
2021/22,2021-12-11,Swansea,Nott'm Forest,A,1,4,1.239,1.0,0.4141,0.3036,0.2823,2.415,3.294,3.543,2.578,1.634,2.36,3.32,3.65,2.43,1.65,0.22889,0.1715,0.09218,0.51516,0.53466,0.36186,1.26496,-2.28,0.79,3.02,-5.74,0.98,1509.7,1497.1,12.7,1,,,,,7,7.0,0.0,4.0,9.0,-5.0,M Donohue,0.423728813559322,2.4745762711864407,3.2203389830508473,4.9,3.6,5.4,4.6
2021/22,2021-12-11,West Brom,Reading,H,1,0,2.144,0.998,0.5944,0.2288,0.1767,1.682,4.37,5.659,1.646,2.549,1.48,4.75,8.13,1.95,1.98,0.06524,0.16448,0.05237,0.03123,0.52014,0.25986,0.19446,-12.01,8.7,43.66,18.47,-22.32,1561.4,1482.7,78.7,0,,,,,7,7.0,0.0,6.0,8.0,-2.0,G Webb,,,,7.3,4.6,2.9,5.1
2021/22,2021-12-11,Peterboro,Millwall,H,2,1,1.162,1.57,0.2883,0.2672,0.4445,3.469,3.742,2.25,1.945,2.058,3.3,3.41,2.45,2.25,1.75,0.2347,0.50653,0.07141,0.19757,1.24379,0.31091,0.58787,-4.87,-8.87,8.89,15.68,-14.97,1409.3,1514.2,-105.0,1,,,,,7,7.0,0.0,1.0,6.0,-5.0,L Doughty,0.391304347826087,2.130434782608696,3.9130434782608696,3.3,5.3,4.4,5.6
