round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
12,2026-05-28,St Kilda Saints v Hawthorn Hawks,St Kilda Saints,home,0.19880715705765406,0.2841880341880342,-0.08538087713038012,3.35,-0.3339960238568589,L,-1.0
12,2026-05-28,St Kilda Saints v Hawthorn Hawks,Hawthorn Hawks,away,0.8,0.7158119658119658,0.08418803418803422,1.33,0.06400000000000006,W,0.33000000000000007
12,2026-05-29,Carlton Blues v Geelong Cats,Carlton Blues,home,0.11025358324145534,0.21568627450980393,-0.10543269126834859,4.4,-0.5148842337375965,W,3.4000000000000004
12,2026-05-29,Carlton Blues v Geelong Cats,Geelong Cats,away,0.8928571428571428,0.7843137254901962,0.10854341736694662,1.21,0.0803571428571428,L,-1.0
12,2026-05-30,Brisbane Lions v Fremantle Dockers,Brisbane Lions,home,0.6451612903225806,0.6030150753768844,0.04214621494569626,1.58,0.019354838709677358,L,-1.0
12,2026-05-30,Brisbane Lions v Fremantle Dockers,Fremantle Dockers,away,0.35714285714285715,0.39698492462311563,-0.03984206748025848,2.4,-0.1428571428571429,W,1.4
12,2026-05-30,Sydney Swans v Richmond Tigers,Sydney Swans,home,1.0,0.9136212624584719,0.08637873754152814,1.04,0.040000000000000036,W,0.040000000000000036
12,2026-05-30,Sydney Swans v Richmond Tigers,Richmond Tigers,away,0.0039000039000038995,0.08637873754152825,-0.08247873364152435,11.0,-0.9570999570999571,L,-1.0
12,2026-05-30,Western Bulldogs v Collingwood Magpies,Western Bulldogs,home,0.5235602094240838,0.5949367088607596,-0.07137649943667579,1.6,-0.16230366492146597,W,0.6000000000000001
12,2026-05-30,Western Bulldogs v Collingwood Magpies,Collingwood Magpies,away,0.47846889952153115,0.40506329113924056,0.0734056083822906,2.35,0.12440191387559829,L,-1.0
12,2026-05-31,Melbourne Demons v Greater Western Sydney Giants,Melbourne Demons,home,0.6622516556291391,0.43152454780361754,0.23072710782552158,2.2,0.4569536423841063,L,-1.0
12,2026-05-31,Melbourne Demons v Greater Western Sydney Giants,Greater Western Sydney Giants,away,0.33670033670033667,0.5684754521963824,-0.23177511549604574,1.67,-0.4377104377104378,W,0.6699999999999999
12,2026-05-31,West Coast Eagles v Essendon Bombers,West Coast Eagles,home,0.49504950495049505,0.660377358490566,-0.16532785354007096,1.44,-0.28712871287128716,W,0.43999999999999995
12,2026-05-31,West Coast Eagles v Essendon Bombers,Essendon Bombers,away,0.5050505050505051,0.33962264150943394,0.16542786354107114,2.8,0.41414141414141414,L,-1.0
13,2026-06-04,Adelaide Crows v Geelong Cats,Adelaide Crows,home,0.4273504273504274,0.3658536585365854,0.06149676881384197,2.6,0.11111111111111116,W,1.6
13,2026-06-04,Adelaide Crows v Geelong Cats,Geelong Cats,away,0.5714285714285714,0.6341463414634148,-0.06271777003484336,1.5,-0.1428571428571429,L,-1.0
13,2026-06-05,Hawthorn Hawks v Western Bulldogs,Hawthorn Hawks,home,0.8620689655172414,0.6341463414634148,0.22792262405382668,1.5,0.2931034482758621,L,-1.0
13,2026-06-05,Hawthorn Hawks v Western Bulldogs,Western Bulldogs,away,0.14124293785310735,0.3658536585365854,-0.22461072068347807,2.6,-0.6327683615819208,W,1.6
13,2026-06-06,Gold Coast Suns v Brisbane Lions,Gold Coast Suns,home,0.5882352941176471,0.6341463414634148,-0.045911047345767675,1.5,-0.11764705882352944,L,-1.0
