round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
9,2026-05-09,North Melbourne Kangaroos v Sydney Swans,Sydney Swans,away,0.7083999999999999,0.7173447537473233,-0.008944753747323397,1.32,-0.06491200000000008,W,0.32000000000000006
9,2026-05-09,Greater Western Sydney Giants v Essendon Bombers,Greater Western Sydney Giants,home,0.9443,0.8641975308641975,0.08010246913580255,1.1,0.03873000000000015,W,0.10000000000000009
9,2026-05-09,Greater Western Sydney Giants v Essendon Bombers,Essendon Bombers,away,0.05569999999999998,0.13580246913580246,-0.08010246913580249,7.0,-0.6101000000000001,L,-1.0
9,2026-05-09,Gold Coast Suns v St Kilda Saints,Gold Coast Suns,home,0.9123,0.7048458149779735,0.2074541850220265,1.34,0.22248200000000007,W,0.3400000000000001
9,2026-05-09,Gold Coast Suns v St Kilda Saints,St Kilda Saints,away,0.0877,0.29515418502202645,-0.20745418502202645,3.2,-0.71936,L,-1.0
9,2026-05-09,Geelong Cats v Collingwood Magpies,Geelong Cats,home,0.6377,0.6416464891041161,-0.003946489104116102,1.48,-0.05620399999999992,W,0.48
9,2026-05-09,Geelong Cats v Collingwood Magpies,Collingwood Magpies,away,0.36229999999999996,0.35835351089588374,0.003946489104116213,2.65,-0.03990500000000019,L,-1.0
9,2026-05-10,Melbourne Demons v West Coast Eagles,Melbourne Demons,home,0.966,0.8641975308641975,0.10180246913580249,1.1,0.06259999999999999,W,0.10000000000000009
9,2026-05-10,Melbourne Demons v West Coast Eagles,West Coast Eagles,away,0.03400000000000003,0.13580246913580246,-0.10180246913580243,7.0,-0.7619999999999998,L,-1.0
9,2026-05-10,Richmond Tigers v Adelaide Crows,Richmond Tigers,home,0.0954,0.15848527349228608,-0.06308527349228608,6.0,-0.4276,L,-1.0
9,2026-05-10,Richmond Tigers v Adelaide Crows,Adelaide Crows,away,0.9046,0.8415147265077139,0.0630852734922861,1.13,0.02219799999999994,W,0.1299999999999999
10,2026-05-14,Lions v Cats,Lions,home,0.889,0.6474820143884892,0.24151798561151083,1.47,0.30682999999999994,L,-1.0
10,2026-05-14,Lions v Cats,Cats,away,0.111,0.35251798561151076,-0.24151798561151078,2.7,-0.7002999999999999,W,1.7000000000000002
10,2026-05-15,Swans v Magpies,Swans,home,0.8510000000000001,0.8415147265077139,0.009485273492286228,1.13,-0.038370000000000015,W,0.1299999999999999
10,2026-05-15,Swans v Magpies,Magpies,away,0.14900000000000002,0.15848527349228608,-0.009485273492286062,6.0,-0.10599999999999987,L,-1.0
10,2026-05-15,Suns v Power,Suns,home,0.85,0.7843137254901962,0.0656862745098038,1.21,0.02849999999999997,W,0.20999999999999996
10,2026-05-15,Suns v Power,Power,away,0.15000000000000002,0.21568627450980393,-0.06568627450980391,4.4,-0.33999999999999986,L,-1.0
10,2026-05-16,Crows v Kangaroos,Crows,home,0.86,0.6416464891041161,0.21835351089588384,1.48,0.27279999999999993,W,0.48
10,2026-05-16,Crows v Kangaroos,Kangaroos,away,0.14,0.35835351089588374,-0.21835351089588373,2.65,-0.629,L,-1.0
10,2026-05-16,Demons v Hawks,Demons,home,0.741,0.33962264150943394,0.40137735849056605,2.8,1.0747999999999998,W,1.7999999999999998
10,2026-05-16,Demons v Hawks,Hawks,away,0.259,0.660377358490566,-0.401377358490566,1.44,-0.62704,L,-1.0
10,2026-05-16,Blues v Bulldogs,Blues,home,0.614,0.40506329113924056,0.20893670886075943,2.35,0.44290000000000007,W,1.35
10,2026-05-16,Blues v Bulldogs,Bulldogs,away,0.386,0.5949367088607596,-0.20893670886075955,1.6,-0.38239999999999996,L,-1.0
10,2026-05-17,Bombers v Dockers,Bombers,home,0.695,0.1986644407345576,0.49633555926544237,4.8,2.336,L,-1.0
10,2026-05-17,Bombers v Dockers,Dockers,away,0.30500000000000005,0.8013355592654424,-0.49633555926544237,1.19,-0.6370499999999999,W,0.18999999999999995
