Season,Date,HomeTeam,AwayTeam,Referee,HY,AY,HR,AR,total_yellow_cards,total_red_cards,league_yellow_mean_prior,league_fouls_mean_prior,ref_yellow_mean_prior,ref_fouls_mean_prior,ref_games_prior,home_team_yellow_mean_prior,away_team_yellow_mean_prior,home_cards_drawn_mean_prior,away_cards_drawn_mean_prior,home_fouls_mean_prior,away_fouls_mean_prior,home_team_games_prior,away_team_games_prior,home_yellow_home_mean_prior,away_yellow_away_mean_prior,home_xg_for_prior,away_xg_for_prior,home_xg_against_prior,away_xg_against_prior,home_shots_prior_x,away_shots_prior_x,home_fouls_prior,away_fouls_prior,home_ppda_prior,away_ppda_prior,home_prior_matches,away_prior_matches,home_rest_days,away_rest_days,xg_source_available,match_stats_source_available,home_blocked_shots_prior,home_accurate_crosses_n_prior,home_shots_inside_box_prior,home_touches_opp_box_prior,home_possession_prior,home_shots_prior_y,home_shots_on_target_prior,home_starter_rating_mean_prior,home_starter_count_prior,home_provider_prior_matches,away_blocked_shots_prior,away_accurate_crosses_n_prior,away_shots_inside_box_prior,away_touches_opp_box_prior,away_possession_prior,away_shots_prior_y,away_shots_on_target_prior,away_starter_rating_mean_prior,away_starter_count_prior,away_provider_prior_matches
2022/23,2022-08-27,Arsenal,Fulham,J Gillett,2,3,0,0,5,0,3.2733145308228644,10.002615258977356,3.3009128686269893,12.58514948540094,11,1.6290368291340729,1.7718070104379946,1.8184778229228928,1.1867006274592713,9.810619920628357,10.80871930257798,307,79,1.5687491606022113,1.695367758910583,1.9495694,1.0633708,1.2087606,1.6510939,14.8,11.6,10.4,11.7,10.58,14.27,10,10,7.0,7.0,True,True,4.0,3.6666666666666665,11.333333333333334,,50.666666666666664,14.333333333333334,5.0,7.590909090909091,11.0,3,3.3333333333333335,6.0,9.333333333333334,14.0,39.0,12.0,5.0,7.046060606060607,11.0,3
2022/23,2022-08-27,Brentford,Everton,J Brooks,2,2,0,0,4,0,3.2733145308228644,10.002615258977356,3.627762109019054,11.735512715814462,5,1.5633903389494908,1.6228256490098494,1.4562474818066335,1.706676580686868,8.286064543613039,10.500060914417174,41,307,1.5299959708906137,1.6699396367926875,1.6232547,1.1856813999999998,1.3520896,1.7905361,14.2,11.4,7.4,8.8,17.92,16.41,10,10,7.0,7.0,True,True,2.6666666666666665,2.3333333333333335,7.666666666666667,,44.666666666666664,11.333333333333334,5.0,7.0657575757575755,11.0,3,5.0,2.6666666666666665,9.0,,42.333333333333336,14.0,5.333333333333333,6.843939393939394,11.0,3
2022/23,2022-08-27,Brighton,Leeds,M Salisbury,2,3,0,0,5,0,3.2733145308228644,10.002615258977356,3.408029767950745,11.93328901635979,4,1.507451245101786,2.027126159374165,1.4737973989479398,1.5058495636294835,10.495286607895816,10.76616611108862,193,79,1.6626113421727162,1.8990714626142864,1.7535509,1.229881,0.9363352,1.6203027000000003,12.9,10.4,9.0,13.3,11.7,7.57,10,10,6.0,6.0,True,True,4.0,4.0,9.0,,47.0,13.0,4.333333333333333,7.221818181818182,11.0,3,3.0,4.333333333333333,9.0,21.0,45.333333333333336,12.333333333333334,5.0,7.439393939393939,11.0,3
2022/23,2022-08-27,Chelsea,Leicester,P Tierney,1,2,1,0,3,1,3.2733145308228644,10.002615258977356,3.327953956584333,20.43267988048022,130,1.548291487519166,1.4271734750968057,1.961334965780036,1.5886641583266194,10.01248327466562,10.310619920628357,307,307,1.4556539225069731,1.610415827268878,1.7986552000000002,1.16798072,0.92648652,1.5466959,18.4,10.0,11.3,9.3,5.83,12.17,10,10,6.0,7.0,True,True,6.666666666666667,5.0,10.333333333333334,31.0,62.666666666666664,15.0,4.0,7.031212121212121,11.0,3,2.0,2.0,4.666666666666667,,55.666666666666664,8.666666666666666,2.6666666666666665,6.697575757575758,11.0,3
2022/23,2022-08-27,Liverpool,Bournemouth,S Attwell,0,1,0,0,1,0,3.2733145308228644,10.002615258977356,3.4952685338338414,18.46854880478321,116,1.29673869248811,1.555528168178709,1.535869127270719,1.8584127835633244,9.475216193920282,9.08182506943428,307,193,1.12232058917364,1.500449180010554,1.998597,1.0937798,0.9249562,1.5717429,20.0,9.3,8.1,11.5,5.44,26.17,10,10,5.0,7.0,True,True,5.666666666666667,6.0,13.333333333333334,,70.0,17.333333333333332,4.333333333333333,6.97090909090909,11.0,3,1.0,3.6666666666666665,3.6666666666666665,5.0,36.333333333333336,5.333333333333333,1.6666666666666667,6.466666666666668,11.0,3
2022/23,2022-08-27,Man City,Crystal Palace,D England,1,2,0,0,3,0,3.2733145308228644,10.002615258977356,3.3930728918975777,16.03896946178177,28,1.5110244067738243,1.6849374502520855,1.6787262701278618,1.7190989409353152,9.496955324355064,11.291986380255684,307,307,1.336606303459354,1.735415827268878,2.90919,1.4406413,0.6826185,0.8917930999999999,20.3,11.9,7.0,12.6,14.81,21.82,10,10,6.0,7.0,True,True,5.666666666666667,6.0,11.666666666666666,34.0,70.33333333333333,18.0,6.333333333333333,7.594242424242425,11.0,3,3.0,3.0,9.666666666666666,,44.666666666666664,11.333333333333334,4.666666666666667,6.93969696969697,11.0,3
2022/23,2022-08-27,Southampton,Man United,A Madley,0,3,0,0,3,0,3.2733145308228644,10.002615258977356,2.83101198986905,18.70924140936713,47,1.5607138477676132,1.827794593109228,1.4954964564632656,1.6973598105005323,10.95658265354761,11.326147870938913,307,307,1.4258920177450682,1.955653922506973,0.9134106,1.2327031000000002,1.8278775,1.7569782999999997,10.9,12.0,8.4,10.2,14.86,11.49,10,10,7.0,5.0,True,True,2.3333333333333335,4.666666666666667,7.0,16.0,41.0,11.0,3.0,6.867575757575757,11.0,3,5.0,4.333333333333333,9.333333333333334,,53.333333333333336,15.0,4.666666666666667,6.67939393939394,11.0,3
2022/23,2022-08-28,Aston Villa,West Ham,D Coote,2,0,0,0,2,0,3.278004602624702,9.939868877587775,3.4521064743749217,19.63680759936521,70,1.853774204421564,1.5918789891915692,1.810504973652333,1.5080280575145506,10.747831810489943,9.650773343422076,193,307,1.6719372479250925,1.5689585388076503,1.2168312,1.1515272,1.4869238,1.8040324,13.2,10.4,12.5,8.6,7.77,20.1,10,10,8.0,7.0,True,True,4.0,5.333333333333333,8.333333333333334,,57.666666666666664,13.333333333333334,3.6666666666666665,6.896666666666667,11.0,3,5.333333333333333,5.333333333333333,7.666666666666667,,44.0,12.666666666666666,3.0,6.60969696969697,11.0,3
2022/23,2022-08-28,Nott'm Forest,Tottenham,C Pawson,6,1,0,0,7,0,3.278004602624702,9.939868877587775,3.526802320115394,21.155390639368,197,1.8658352510936256,1.7067858214897058,1.588057473315848,1.939705076148091,5.974945365661573,10.67251247385686,3,307,1.786564657480329,1.866577586426698,1.0419466666666668,1.804508,1.793173333333333,0.758893,10.666666666666666,13.0,11.0,9.9,13.31,9.86,3,10,8.0,8.0,True,True,2.6666666666666665,3.3333333333333335,7.0,,44.666666666666664,10.666666666666666,3.6666666666666665,6.962121212121214,11.0,3,3.0,5.0,10.666666666666666,,48.0,13.0,5.666666666666667,7.323333333333333,11.0,3
2022/23,2022-08-28,Wolves,Newcastle,P Bankes,2,1,0,0,3,0,3.278004602624702,9.939868877587775,3.5901532585699627,17.265101847571128,41,1.5916766736452077,1.653468431407343,1.9387354971746191,1.709806459576357,10.020876568128871,10.318834565429253,155,269,1.63679385347484,1.6683559363737266,0.8400572000000001,1.3978479,1.900192,1.5924102000000002,11.3,11.6,7.1,10.3,14.34,9.15,10,10,8.0,7.0,True,True,4.333333333333333,6.666666666666667,6.333333333333333,22.5,56.666666666666664,14.0,3.3333333333333335,7.022727272727273,11.0,3,2.6666666666666665,6.0,9.666666666666666,,46.0,13.0,5.666666666666667,7.450909090909092,11.0,3
