season,match_id,p_model,market_prob,p_blend,bet,edge,odds,actual,profit
2024-25,ucl-2024-25-058,0.545016077170418,0.4769230769230769,0.5109695770467475,Over,0.03404650012367061,2.04,Under,-1
2024-25,ucl-2024-25-007,0.6198347107438017,0.49202127659574474,0.5559279936697732,Over,0.06390671707402845,1.91,Under,-1
2024-25,ucl-2024-25-046,0.545016077170418,0.549597855227882,0.54730696619915,Under,0.002290889028732035,2.05,Under,1.0499999999999998
2024-25,ucl-2024-25-145,0.6198347107438017,0.6025316455696202,0.611183178156711,Over,0.008651532587090727,1.57,Over,0.5700000000000001
2024-25,ucl-2024-25-093,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Under,1.2000000000000002
2024-25,ucl-2024-25-131,0.6198347107438017,0.6818181818181818,0.6508264462809917,Under,0.030991735537190146,3.0,Over,-1
2024-25,ucl-2024-25-016,0.545016077170418,0.4769230769230769,0.5109695770467475,Over,0.03404650012367061,2.04,Over,1.04
2024-25,ucl-2024-25-151,0.545016077170418,0.6728971962616822,0.6089566367160502,Under,0.0639405595456321,2.88,Over,-1
2024-25,ucl-2024-25-088,0.6198347107438017,0.586734693877551,0.6032847023106763,Over,0.016550008433125374,1.62,Under,-1
2024-25,ucl-2024-25-062,0.6564102564102564,0.586734693877551,0.6215724751439037,Over,0.03483778126635273,1.62,Over,0.6200000000000001
2024-25,ucl-2024-25-012,0.545016077170418,0.6563245823389022,0.6006703297546601,Under,0.05565425258424206,2.75,Over,-1
2024-25,ucl-2024-25-125,0.545016077170418,0.6880733944954128,0.6165447358329155,Under,0.07152865866249741,3.0,Under,2.0
2024-25,ucl-2024-25-064,0.545016077170418,0.5205128205128204,0.5327644488416192,Over,0.01225162832879878,1.87,Under,-1
2024-25,ucl-2024-25-064,0.545016077170418,0.4846153846153846,0.5148157308929013,Over,0.03020034627751672,2.01,Under,-1
2024-25,ucl-2024-25-149,0.545016077170418,0.47368421052631576,0.5093501438483669,Over,0.03566593332205109,2.0,Over,1.0
2024-25,ucl-2024-25-011,0.545016077170418,0.5822784810126582,0.5636472790915381,Under,0.01863120192112011,2.3,Over,-1
2024-25,ucl-2024-25-116,0.545016077170418,0.43152454780361754,0.4882703124870178,Over,0.05674576468340026,2.2,Under,-1
2024-25,ucl-2024-25-097,0.545016077170418,0.5263157894736842,0.535665933322051,Over,0.009350143848366854,1.8,Over,0.8
2024-25,ucl-2024-25-071,0.56,0.7017543859649122,0.6308771929824561,Under,0.07087719298245615,3.2,Over,-1
2024-25,ucl-2024-25-014,0.6923076923076923,0.5684754521963824,0.6303915722520373,Over,0.061916120055654944,1.67,Over,0.6699999999999999
2024-25,ucl-2024-25-117,0.56,0.6818181818181818,0.6209090909090909,Under,0.060909090909091024,3.0,Over,-1
2024-25,ucl-2024-25-083,0.551111111111111,0.6025316455696202,0.5768213783403656,Under,0.025710267229254624,2.38,Over,-1
2024-25,ucl-2024-25-141,0.545016077170418,0.6368038740920097,0.5909099756312138,Under,0.045893898460795834,2.63,Over,-1
2024-25,ucl-2024-25-092,0.545016077170418,0.586734693877551,0.5658753855239844,Under,0.020859308353566586,2.3,Under,1.2999999999999998
2024-25,ucl-2024-25-089,0.545016077170418,0.586734693877551,0.5658753855239844,Under,0.020859308353566586,2.3,Over,-1
2024-25,ucl-2024-25-035,0.545016077170418,0.6025316455696202,0.5737738613700192,Under,0.028757784199601066,2.38,Over,-1
2024-25,ucl-2024-25-103,0.545016077170418,0.7017543859649122,0.6233852315676651,Under,0.07836915439724718,3.2,Over,-1
2024-25,ucl-2024-25-103,0.545016077170418,0.7017543859649122,0.6233852315676651,Under,0.07836915439724718,3.2,Over,-1
2024-25,ucl-2024-25-022,0.551111111111111,0.6818181818181818,0.6164646464646464,Under,0.0653535353535355,3.0,Over,-1
2024-25,ucl-2024-25-164,0.545016077170418,0.5076923076923077,0.5263541924313628,Over,0.018661884739055168,1.92,Under,-1
2024-25,ucl-2024-25-135,0.6198347107438017,0.7017543859649122,0.6607945483543569,Under,0.04095983761055538,3.2,Over,-1
2024-25,ucl-2024-25-157,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Under,1.2000000000000002
2024-25,ucl-2024-25-059,0.545016077170418,0.7188160676532769,0.6319160724118474,Under,0.0868999952414295,3.4,Under,2.4
2024-25,ucl-2024-25-152,0.545016077170418,0.5684754521963824,0.5567457646834002,Under,0.011729687512982256,2.2,Under,1.2000000000000002
2024-25,ucl-2024-25-013,0.551111111111111,0.6025316455696202,0.5768213783403656,Under,0.025710267229254624,2.38,Over,-1
2024-25,ucl-2024-25-126,0.551111111111111,0.696035242290749,0.62357317670093,Under,0.07246206558981888,3.16,Over,-1
2024-25,ucl-2024-25-152,0.545016077170418,0.5,0.522508038585209,Over,0.022508038585209,1.95,Under,-1
