date,home_slug,away_slug,score,home_odds,draw_odds,away_odds
19.09.2024,Monaco,Barcelona,2:1,4.34,4.21,1.73
18.09.2024,Bologna,Shakhtar Donetsk,0:0,1.91,3.58,4.08
18.09.2024,Celtic,Slovan Bratislava,5:1,1.22,6.54,13.18
18.09.2024,Club Brugge KV,Dortmund,0:3,3.22,3.58,2.20
18.09.2024,Manchester City,Inter,0:0,1.37,5.09,8.11
18.09.2024,PSG,Girona,1:0,1.29,6.04,9.80
18.09.2024,Sparta Prague,Salzburg,3:0,2.21,3.64,3.11
17.09.2024,AC Milan,Liverpool,1:3,3.62,3.74,1.98
17.09.2024,Bayern Munich,Din. Zagreb,9:2,1.10,10.95,23.82
17.09.2024,Juventus,PSV,3:1,1.80,3.76,4.44
17.09.2024,Real Madrid,Stuttgart,3:1,1.31,6.07,8.64
17.09.2024,Sporting CP,Lille,2:0,1.51,4.37,6.50
17.09.2024,Young Boys,Aston Villa,0:3,5.33,4.16,1.62
