match_id,home,away,bet,edge,odds,actual,win,profit,bookmaker,path
ucl-2024-25-095,Atalanta BC (ITA),Real Madrid CF (ESP),Over,-0.008264462809917217,1.6,Over,True,0.6000000000000001,betway,/football/europe/champions-league-2024-2025/atalanta-real-madrid/IonGGoOr/
ucl-2024-25-110,Atalanta BC (ITA),SK Sturm Graz (AUT),Under,0.09196141479099684,2.4,Over,False,-1,betway,/football/europe/champions-league-2024-2025/atalanta-sturm-graz/AwM9qdFq/
ucl-2024-25-114,Club Atlético de Madrid (ESP),Bayer 04 Leverkusen (GER),Over,0.3784615384615386,2.1,Over,True,1.1,bet365,/football/europe/champions-league-2024-2025/atl-madrid-bayer-leverkusen/f79xolZj/
ucl-2024-25-052,Club Atlético de Madrid (ESP),Lille OSC (FRA),Over,0.13558974358974352,1.73,Over,True,0.73,bet365,/football/europe/champions-league-2024-2025/atl-madrid-lille/KQxsdEsh/
ucl-2024-25-018,Club Atlético de Madrid (ESP),RB Leipzig (GER),Over,0.1215384615384616,1.62,Over,True,0.6200000000000001,bet365,/football/europe/champions-league-2024-2025/atl-madrid-rb-leipzig/KliVkqKP/
ucl-2024-25-175,Club Atlético de Madrid (ESP),Real Madrid CF (ESP),Over,0.782,1.8,Over,True,0.8,bet365,/football/europe/champions-league-2024-2025/atl-madrid-real-madrid/CdktT8vR/
ucl-2024-25-100,Club Atlético de Madrid (ESP),ŠK Slovan Bratislava (SVK),Under,0.4877435897435898,4.33,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/atl-madrid-slovan-bratislava/OIZchWtH/
ucl-2024-25-136,FC Barcelona (ESP),Atalanta BC (ITA),Under,0.4256198347107436,3.75,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/barcelona-atalanta/0lvFmmfd/
ucl-2024-25-049,FC Barcelona (ESP),FC Bayern München (GER),Under,0.43644444444444486,3.2,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/barcelona-bayern-munich/EHVzWNSg/
ucl-2024-25-169,FC Barcelona (ESP),Sport Lisboa e Benfica (POR),Over,0.3167,1.33,Over,True,0.33000000000000007,cloudbet,/football/europe/champions-league-2024-2025/barcelona-benfica/4fUKLQW0/
ucl-2024-25-078,FC Barcelona (ESP),Stade Brestois 29 (FRA),Under,0.1404958677685948,3.0,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/barcelona-brest/veRt2n9k/
ucl-2024-25-180,FC Barcelona (ESP),Borussia Dortmund (GER),Under,0.5262222222222226,3.4,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/barcelona-dortmund/tMQd9geT/
ucl-2024-25-136,FC Barcelona (ESP),Atalanta BC (ITA),Over,-0.03305785123966931,1.56,Over,True,0.56,duelbits,/football/europe/champions-league-2024-2025/barcelona-inter/vw0XoVEb/
ucl-2024-25-023,FC Barcelona (ESP),BSC Young Boys (SUI),Under,1.42,5.5,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/barcelona-young-boys/lAK99UGF/
