match_id,matchDate,homeTeam,awayTeam,xbetClose1FT,xbetCloseXFT,xbetClose2FT,xbetCloseOver25,xbetCloseUnder25
ucl-2025-26-104,10-12-25 21:00,Bayer Leverkusen,Newcastle,3.19,3.86,2.18,1.53,2.5
ucl-2025-26-105,10-12-25 21:00,Club Brugge KV,Arsenal,7.11,5.33,1.43,1.53,2.5
ucl-2025-26-106,10-12-25 21:00,Benfica,Napoli,2.85,3.21,2.72,2.29,1.63
ucl-2025-26-107,10-12-25 21:00,Juventus,Pafos,1.21,7.42,15.0,1.39,3.0
ucl-2025-26-108,10-12-25 21:00,Real Madrid,Manchester City,3.18,3.99,2.15,1.42,2.9
ucl-2025-26-109,20-01-26 16:30,Kairat Almaty,Club Brugge KV,6.23,5.19,1.48,1.58,2.38
ucl-2025-26-110,20-01-26 18:45,Bodo/Glimt,Manchester City,7.06,5.87,1.39,1.28,3.68
ucl-2025-26-111,20-01-26 21:00,Tottenham,Dortmund,2.74,3.66,2.54,1.78,2.1
ucl-2025-26-112,20-01-26 21:00,Sporting CP,PSG,4.57,4.3,1.73,1.45,2.75
ucl-2025-26-113,20-01-26 21:00,Olympiacos Piraeus,Bayer Leverkusen,2.34,3.68,3.02,1.95,1.91
ucl-2025-26-114,20-01-26 21:00,Villarreal,Ajax,1.37,5.85,7.68,1.3,3.5
ucl-2025-26-115,20-01-26 21:00,FC Copenhagen,Napoli,4.1,3.49,2.0,2.19,1.73
ucl-2025-26-116,20-01-26 21:00,Real Madrid,Monaco,1.32,6.13,9.14,1.3,3.5
ucl-2025-26-117,20-01-26 21:00,Inter,Arsenal,2.9,3.38,2.56,2.09,1.8
ucl-2025-26-118,21-01-26 18:45,Qarabag,Eintracht Frankfurt,3.46,3.97,2.04,1.49,2.63
ucl-2025-26-119,21-01-26 18:45,Galatasaray,Atl. Madrid,3.45,3.8,2.1,1.57,2.42
ucl-2025-26-120,21-01-26 21:00,Marseille,Liverpool,3.68,4.02,1.96,1.53,2.5
ucl-2025-26-121,21-01-26 21:00,Slavia Prague,Barcelona,8.13,6.11,1.34,1.3,3.5
ucl-2025-26-122,21-01-26 21:00,Atalanta,Ath Bilbao,1.71,3.84,5.38,2.19,1.73
ucl-2025-26-123,21-01-26 21:00,Juventus,Benfica,1.69,4.0,5.32,1.95,1.91
ucl-2025-26-124,21-01-26 21:00,Newcastle,PSV,1.34,5.77,8.91,1.3,3.5
ucl-2025-26-125,21-01-26 21:00,Bayern Munich,Royale Union SG,1.14,11.0,16.5,1.23,4.21
ucl-2025-26-126,21-01-26 21:00,Chelsea,Pafos,1.11,11.7,21.0,1.22,4.33
ucl-2025-26-127,28-01-26 21:00,Liverpool,Qarabag,1.11,12.1,19.8,1.17,5.0
ucl-2025-26-128,28-01-26 21:00,Barcelona,FC Copenhagen,1.13,10.9,19.8,1.15,5.5
ucl-2025-26-129,28-01-26 21:00,Manchester City,Galatasaray,1.25,7.7,9.78,1.23,4.13
ucl-2025-26-130,28-01-26 21:00,Bayer Leverkusen,Villarreal,1.7,4.19,4.86,1.62,2.3
ucl-2025-26-131,28-01-26 21:00,Arsenal,Kairat Almaty,1.03,17.0,41.0,1.22,4.33
ucl-2025-26-132,28-01-26 21:00,Royale Union SG,Atalanta,3.09,3.67,2.3,1.67,2.2
ucl-2025-26-133,28-01-26 21:00,Club Brugge KV,Marseille,2.88,3.7,2.42,1.53,2.5
ucl-2025-26-134,28-01-26 21:00,Eintracht Frankfurt,Tottenham,5.06,4.25,1.67,1.67,2.2
ucl-2025-26-135,28-01-26 21:00,Monaco,Juventus,4.07,3.56,1.98,1.78,2.1
ucl-2025-26-136,28-01-26 21:00,Atl. Madrid,Bodo/Glimt,1.28,7.21,9.27,1.22,4.33
ucl-2025-26-137,28-01-26 21:00,Ath Bilbao,Sporting CP,3.0,3.41,2.48,1.95,1.91
ucl-2025-26-138,28-01-26 21:00,Ajax,Olympiacos Piraeus,3.15,3.76,2.24,1.67,2.2
ucl-2025-26-139,28-01-26 21:00,PSG,Newcastle,1.59,4.86,5.12,1.39,3.0
ucl-2025-26-140,28-01-26 21:00,Pafos,Slavia Prague,3.16,3.47,2.34,1.86,2.0
ucl-2025-26-141,28-01-26 21:00,PSV,Bayern Munich,4.85,4.59,1.65,1.33,3.37
ucl-2025-26-142,28-01-26 21:00,Napoli,Chelsea,3.5,3.7,2.11,1.86,2.0
ucl-2025-26-143,28-01-26 21:00,Benfica,Real Madrid,4.49,4.32,1.74,1.49,2.63
ucl-2025-26-144,28-01-26 21:00,Dortmund,Inter,2.86,3.57,2.5,1.78,2.1
ucl-2025-26-145,17-02-26 18:45,Galatasaray,Juventus,3.1,3.39,2.42,1.84,2.03
ucl-2025-26-146,17-02-26 21:00,Benfica,Real Madrid,3.35,3.76,2.14,1.6,2.34
ucl-2025-26-147,17-02-26 21:00,Monaco,PSG,6.66,4.87,1.48,1.45,2.75
ucl-2025-26-148,17-02-26 21:00,Dortmund,Atalanta,2.03,3.47,4.02,1.86,2.01
ucl-2025-26-149,18-02-26 18:45,Qarabag,Newcastle,7.74,5.64,1.38,1.42,2.9
ucl-2025-26-150,18-02-26 21:00,Club Brugge KV,Atl. Madrid,4.02,3.78,1.93,1.7,2.23
ucl-2025-26-151,18-02-26 21:00,Olympiacos Piraeus,Bayer Leverkusen,2.42,3.46,3.05,1.95,1.91
ucl-2025-26-152,18-02-26 21:00,Bodo/Glimt,Inter,4.63,4.16,1.74,1.53,2.5
ucl-2025-26-153,24-02-26 18:45,Atl. Madrid,Club Brugge KV,1.42,5.39,7.18,1.45,2.77
ucl-2025-26-154,24-02-26 21:00,Newcastle,Qarabag,1.18,8.58,15.1,1.32,3.4
ucl-2025-26-155,24-02-26 21:00,Bayer Leverkusen,Olympiacos Piraeus,1.74,4.11,4.74,1.78,2.1
ucl-2025-26-156,24-02-26 21:00,Inter,Bodo/Glimt,1.23,8.52,10.0,1.27,3.75
ucl-2025-26-157,25-02-26 18:45,Atalanta,Dortmund,2.29,3.87,2.98,1.6,2.34
ucl-2025-26-158,25-02-26 21:00,Real Madrid,Benfica,1.8,3.99,4.47,1.7,2.23
ucl-2025-26-159,25-02-26 21:00,PSG,Monaco,1.29,6.83,9.42,1.32,3.4
ucl-2025-26-160,25-02-26 21:00,Juventus,Galatasaray,1.52,5.41,5.34,1.36,3.16
ucl-2025-26-161,10-03-26 18:45,Galatasaray,Liverpool,4.44,4.31,1.74,1.52,2.53
ucl-2025-26-162,10-03-26 21:00,Atalanta,Bayern Munich,4.92,4.32,1.68,1.42,2.9
ucl-2025-26-163,10-03-26 21:00,Newcastle,Barcelona,2.83,4.1,2.3,1.36,3.16
ucl-2025-26-164,10-03-26 21:00,Atl. Madrid,Tottenham,1.66,3.96,5.67,1.84,2.03
ucl-2025-26-165,11-03-26 18:45,Bayer Leverkusen,Arsenal,6.5,4.41,1.54,1.7,2.23
ucl-2025-26-166,11-03-26 21:00,PSG,Chelsea,1.9,3.86,4.05,1.53,2.5
ucl-2025-26-167,11-03-26 21:00,Real Madrid,Manchester City,3.57,3.83,2.04,1.61,2.32
ucl-2025-26-168,11-03-26 21:00,Bodo/Glimt,Sporting CP,2.47,3.78,2.77,1.53,2.5
ucl-2025-26-169,17-03-26 18:45,Sporting CP,Bodo/Glimt,1.55,5.59,4.8,1.34,3.37
ucl-2025-26-170,17-03-26 21:00,Chelsea,PSG,2.4,4.29,2.63,1.42,2.93
ucl-2025-26-171,17-03-26 21:00,Manchester City,Real Madrid,1.49,5.85,5.27,1.37,3.16
ucl-2025-26-172,17-03-26 21:00,Arsenal,Bayer Leverkusen,1.33,5.77,9.45,1.63,2.32
ucl-2025-26-173,18-03-26 18:45,Barcelona,Newcastle,1.62,4.59,5.16,1.43,2.9
ucl-2025-26-174,18-03-26 21:00,Liverpool,Galatasaray,1.29,6.83,9.42,1.3,3.58
ucl-2025-26-175,18-03-26 21:00,Bayern Munich,Atalanta,1.38,5.64,7.56,1.34,3.37
ucl-2025-26-176,18-03-26 21:00,Tottenham,Atl. Madrid,2.49,3.85,2.71,1.62,2.34
ucl-2025-26-177,07-04-26 21:00,Real Madrid,Bayern Munich,2.66,4.1,2.43,1.3,3.62
ucl-2025-26-178,07-04-26 21:00,Sporting CP,Arsenal,4.44,3.79,1.85,2.01,1.88
ucl-2025-26-179,08-04-26 21:00,PSG,Liverpool,1.78,4.17,4.33,1.54,2.53
ucl-2025-26-180,08-04-26 21:00,Barcelona,Atl. Madrid,1.53,5.08,5.59,1.34,3.37
ucl-2025-26-181,14-04-26 21:00,Liverpool,PSG,2.57,4.28,2.46,1.46,2.75
ucl-2025-26-182,14-04-26 21:00,Atl. Madrid,Barcelona,4.02,4.85,1.74,1.34,3.37
ucl-2025-26-183,15-04-26 21:00,Bayern Munich,Real Madrid,1.6,6.11,4.16,1.21,4.5
ucl-2025-26-184,15-04-26 21:00,Arsenal,Sporting CP,1.54,4.41,6.43,1.97,1.91
ucl-2025-26-185,28-04-26 21:00,PSG,Bayern Munich,2.48,4.09,2.61,1.34,3.37
ucl-2025-26-186,29-04-26 21:00,Atl. Madrid,Arsenal,2.98,3.47,2.46,2.19,1.74
ucl-2025-26-187,05-05-26 21:00,Arsenal,Atl. Madrid,1.67,4.44,4.83,1.86,2.03
ucl-2025-26-188,06-05-26 21:00,Bayern Munich,PSG,1.68,5.36,4.05,1.23,4.33
ucl-2025-26-189,30-05-26 18:00,PSG,Arsenal,2.39,3.38,3.16,2.19,1.74
