match_id,date,home_slug,away_slug,home_odds,draw_odds,away_odds
ucl-2024-25-166,05.03.2025,PSG,Liverpool,2.44,3.47,2.86
ucl-2024-25-167,05.03.2025,Bayern Munich,Bayer Leverkusen,1.75,3.82,4.71
ucl-2024-25-168,21.01.2025,Benfica,Barcelona,3.15,3.82,2.13
ucl-2024-25-169,11.03.2025,Barcelona,Benfica,1.45,5.24,6.12
ucl-2024-25-170,11.03.2025,Liverpool,PSG,2.3,3.94,2.81
ucl-2024-25-171,11.03.2025,Inter,Feyenoord,1.35,5.19,8.86
ucl-2024-25-172,11.03.2025,Bayer Leverkusen,Bayern Munich,2.86,3.69,2.37
ucl-2024-25-173,12.03.2025,Lille,Dortmund,2.69,3.32,2.68
ucl-2024-25-174,12.03.2025,Aston Villa,Club Brugge KV,1.76,3.97,4.49
ucl-2024-25-175,12.03.2025,Atl. Madrid,Real Madrid,2.72,3.48,2.57
ucl-2024-25-176,12.03.2025,Arsenal,PSV,1.51,4.43,6.31
ucl-2024-25-177,08.04.2025,Arsenal,Real Madrid,2.11,3.54,3.47
ucl-2024-25-178,08.04.2025,Bayern Munich,Inter,1.92,3.62,4.07
ucl-2024-25-179,09.04.2025,PSG,Aston Villa,1.51,4.52,6.12
ucl-2024-25-180,09.04.2025,Barcelona,Dortmund,1.33,5.83,8.22
ucl-2024-25-181,15.04.2025,Aston Villa,PSG,3.26,3.83,2.12
ucl-2024-25-182,11.12.2024,Dortmund,Barcelona,3.37,3.99,2.01
ucl-2024-25-183,16.04.2025,Real Madrid,Arsenal,1.78,4.07,4.23
ucl-2024-25-184,16.04.2025,Inter,Bayern Munich,2.67,3.75,2.48
ucl-2024-25-185,01.10.2024,Arsenal,PSG,1.73,3.68,5.07
ucl-2024-25-186,30.04.2025,Barcelona,Inter,1.71,4.12,4.65
ucl-2024-25-187,06.05.2025,Inter,Barcelona,2.57,3.7,2.58
ucl-2024-25-188,07.05.2025,PSG,Arsenal,2.32,3.51,3.06
ucl-2024-25-189,31.05.2025,PSG,Inter,2.1,3.5,3.57
