date,home,away,venue,is_final,ml_home_prob,ml_margin,ml_total,ml_confidence,ml_home_odds,ml_away_odds,mkt_home_open,mkt_away_open,mkt_home_prob,home_line_open,total_line_open,ev_home,ev_away,handicap_edge,total_edge,actual_home_score,actual_away_score,actual_margin,actual_total,actual_home_win,home_covers,over_hit
2025-03-16,Melbourne Demons,Greater Western Sydney Giants,MCG,0,0.1823,-18.3,144.0,0.8177,5.485,1.223,2.4,1.58,0.397,9.5,165.5,-0.5624,0.2919,-8.8,-21.5,74.0,77.0,-3.0,151.0,0,1,0
2025-03-20,Carlton Blues,Hawthorn Hawks,MCG,0,0.2471,-24.6,165.6,0.7529,4.048,1.328,2.3,1.62,0.4133,8.5,170.5,-0.4318,0.2198,-16.1,-4.9,60.0,80.0,-20.0,140.0,0,0,0
2025-03-21,Western Bulldogs,Collingwood Magpies,MCG,0,0.3698,-32.4,147.8,0.6302,2.704,1.587,2.0,1.82,0.4764,2.5,176.5,-0.2604,0.1469,-29.9,-28.8,70.0,76.0,-6.0,146.0,0,0,0
2025-03-22,Essendon Bombers,Adelaide Crows,MCG,0,0.4186,-33.9,170.0,0.5814,2.389,1.72,1.8,2.02,0.5288,-2.5,176.5,-0.2465,0.1744,-36.4,-6.5,100.0,161.0,-61.0,261.0,0,0,1
2025-03-22,Port Adelaide Power,Richmond Tigers,Adelaide Oval,0,0.7436,15.1,180.9,0.7436,1.345,3.9,1.05,10.0,0.905,-48.5,176.5,-0.2192,1.5642,-33.4,4.4,140.0,68.0,72.0,208.0,1,1,1
2025-03-22,St Kilda Saints,Geelong Cats,Marvel Stadium,0,0.4822,3.0,170.7,0.5178,2.074,1.931,2.6,1.5,0.3659,12.5,173.5,0.2536,-0.2232,15.5,-2.8,98.0,91.0,7.0,189.0,1,1,1
2025-03-23,Brisbane Lions,West Coast Eagles,Gabba,0,0.9081,75.0,172.8,0.9081,1.101,10.879,1.05,10.0,0.905,-49.5,175.5,-0.0465,-0.0808,25.5,-2.7,94.0,75.0,19.0,169.0,1,0,0
2025-03-23,Fremantle Dockers,Sydney Swans,Optus Stadium,0,0.6205,1.7,160.6,0.6205,1.612,2.635,1.68,2.2,0.567,-6.5,164.5,0.0424,-0.1651,-4.8,-3.9,65.0,68.0,-3.0,133.0,0,0,0
2025-03-23,North Melbourne Kangaroos,Melbourne Demons,Marvel Stadium,0,0.5063,-23.4,182.9,0.5063,1.975,2.026,3.2,1.36,0.2982,18.5,173.5,0.6202,-0.3286,-4.9,9.4,125.0,66.0,59.0,191.0,1,1,1
2025-03-27,Essendon Bombers,Port Adelaide Power,Marvel Stadium,0,0.3979,-4.6,166.2,0.6021,2.513,1.661,1.97,1.85,0.4843,1.5,175.5,-0.2162,0.1139,-3.1,-9.3,72.0,60.0,12.0,132.0,1,1,0
2025-03-28,Carlton Blues,Western Bulldogs,Marvel Stadium,0,0.7039,7.1,154.9,0.7039,1.421,3.377,1.89,1.93,0.5052,-1.5,170.5,0.3304,-0.4285,5.6,-15.6,75.0,83.0,-8.0,158.0,0,0,0
2025-03-29,Melbourne Demons,Gold Coast Suns,MCG,0,0.2548,-6.9,165.2,0.7452,3.924,1.342,1.68,2.2,0.567,-6.5,170.5,-0.5719,0.6394,-13.4,-5.3,62.0,120.0,-58.0,182.0,0,0,1
2025-03-29,St Kilda Saints,Richmond Tigers,Marvel Stadium,0,0.6946,19.4,178.9,0.6946,1.44,3.275,1.31,3.5,0.7277,-20.5,174.5,-0.09,0.0687,-1.1,4.4,135.0,53.0,82.0,188.0,1,1,1
2025-03-29,Brisbane Lions,Geelong Cats,Gabba,0,0.6341,-10.8,164.4,0.6341,1.577,2.733,1.52,2.55,0.6265,-11.5,160.5,-0.0362,-0.067,-22.3,3.9,70.0,61.0,9.0,131.0,1,0,0
2025-03-29,Hawthorn Hawks,Greater Western Sydney Giants,UTAS Stadium,0,0.7715,17.2,171.8,0.7715,1.296,4.377,1.5,2.6,0.6341,-12.5,166.5,0.1573,-0.406,4.7,5.3,76.0,64.0,12.0,140.0,1,0,0
2025-03-30,Adelaide Crows,North Melbourne Kangaroos,Adelaide Oval,0,0.7515,38.7,185.8,0.7515,1.331,4.023,1.13,6.0,0.8415,-35.5,188.5,-0.1509,0.4913,3.2,-2.7,114.0,78.0,36.0,192.0,1,1,1
2025-03-30,West Coast Eagles,Fremantle Dockers,Optus Stadium,0,0.3752,-51.3,162.9,0.6248,2.665,1.601,4.5,1.21,0.2119,27.5,167.5,0.6885,-0.244,-23.8,-4.6,68.0,106.0,-38.0,174.0,0,0,1
2025-04-03,Collingwood Magpies,Carlton Blues,MCG,0,0.6855,14.6,152.8,0.6855,1.459,3.18,1.54,2.5,0.6188,-10.5,167.5,0.0557,-0.2138,4.1,-14.7,63.0,46.0,17.0,109.0,1,1,0
2025-04-04,Geelong Cats,Melbourne Demons,GMHBA Stadium,0,0.6537,18.0,156.2,0.6537,1.53,2.888,1.28,3.75,0.7455,-22.5,173.5,-0.1633,0.2987,-4.5,-17.3,85.0,46.0,39.0,131.0,1,1,0
2025-04-05,Gold Coast Suns,Adelaide Crows,People First Stadium,0,0.5944,-10.2,164.4,0.5944,1.682,2.466,1.82,2.0,0.5236,-2.5,185.5,0.0819,-0.1889,-12.7,-21.1,91.0,90.0,1.0,181.0,1,0,0
2025-04-05,Richmond Tigers,Brisbane Lions,MCG,0,0.0266,-20.0,187.7,0.9734,37.555,1.027,6.5,1.11,0.1459,37.5,177.5,-0.8269,0.0804,17.5,10.2,90.0,118.0,-28.0,208.0,0,1,1
2025-04-05,North Melbourne Kangaroos,Sydney Swans,Marvel Stadium,0,0.386,-7.3,153.2,0.614,2.591,1.629,2.5,1.54,0.3812,10.5,175.5,-0.035,-0.0544,3.2,-22.3,52.0,117.0,-65.0,169.0,0,0,0
2025-04-06,Greater Western Sydney Giants,West Coast Eagles,ENGIE Stadium,0,0.7927,68.3,187.4,0.7927,1.261,4.825,1.08,8.0,0.8811,-42.5,174.5,-0.1438,0.658,25.8,12.9,132.0,51.0,81.0,183.0,1,1,1
2025-04-06,Port Adelaide Power,St Kilda Saints,Adelaide Oval,0,0.5892,-0.4,163.2,0.5892,1.697,2.434,1.42,2.9,0.6713,-15.5,167.5,-0.1633,0.1913,-15.9,-4.3,72.0,89.0,-17.0,161.0,0,0,0
2025-04-06,Fremantle Dockers,Western Bulldogs,Optus Stadium,0,0.5471,11.6,156.3,0.5471,1.828,2.208,1.72,2.15,0.5556,-5.5,168.5,-0.059,-0.0262,6.1,-12.2,97.0,81.0,16.0,178.0,1,1,1
2025-04-10,Adelaide Crows,Geelong Cats,Adelaide Oval,0,0.4994,-16.4,160.1,0.5006,2.002,1.998,1.68,2.2,0.567,-6.5,179.5,-0.1609,0.1012,-22.9,-19.4,100.0,119.0,-19.0,219.0,0,0,1
2025-04-11,Collingwood Magpies,Sydney Swans,Adelaide Oval,0,0.557,-4.2,167.6,0.557,1.795,2.257,1.54,2.5,0.6188,-10.5,170.5,-0.1422,0.1075,-14.7,-2.9,109.0,78.0,31.0,187.0,1,1,1
