season,season_year,date,home_team,away_team,venue,is_final,split,home_elo,away_elo,elo_diff,elo_win_prob,home_rest_days,away_rest_days,rest_diff,home_travel_km,away_travel_km,travel_diff_km,home_win_pct,home_avg_margin,home_last_margin,home_form_games,home_off_big_win,home_off_big_loss,home_win_streak,home_loss_streak,away_win_pct,away_avg_margin,away_last_margin,away_form_games,away_off_big_win,away_off_big_loss,away_win_streak,away_loss_streak,home_ema_win_pct,home_ema_margin,home_opp_adj_margin,away_ema_win_pct,away_ema_margin,away_opp_adj_margin,ema_margin_diff,opp_adj_margin_diff,form_win_pct_diff,form_margin_diff,venue_games,venue_avg_total,venue_home_win_pct,h2h_home_open,h2h_away_open,h2h_home_close,h2h_away_close,mkt_home_prob_open,home_line_open,home_line_close,total_open,total_close,home_score,away_score,home_margin,total_score,home_win
2022,2022,2022-04-09,Richmond Tigers,Western Bulldogs,MCG,0,train,1461.53,1597.9,-136.37,0.3987,6,9,-3,1.9,1.9,0.0,0.25,-8.75,-33,8,0,0,0,1,0.5,2.25,11,8,0,0,1,0,0.274,-8.43,-8.75,0.481,-3.52,-4.34,-4.91,-4.42,-0.25,-11.0,602,171.8,0.55,2.02,1.8,2.8,1.47,0.4712,2.5,14.5,170.5,165.5,99,61,38,160,1
2022,2022,2022-04-10,Essendon Bombers,Adelaide Crows,Marvl,0,train,1446.11,1357.95,88.15,0.7072,9,9,0,1.4,652.5,-651.1,0.375,-6.75,-29,8,0,0,0,4,0.375,-8.75,4,8,0,0,1,0,0.203,-20.49,-24.16,0.432,-8.23,-9.64,-12.27,-14.51,0.0,2.0,0,,,1.4,3,1.63,2.35,0.6818,-16.5,-8.5,173.5,174.5,103,99,4,202,1
2022,2022,2022-04-10,Hawthorn Hawks,St Kilda Saints,MCG,0,train,1510.46,1533.67,-23.21,0.5599,7,7,0,1.9,1.9,0.0,0.625,15.25,-1,8,0,0,0,1,0.5,7.5,33,8,0,0,2,0,0.568,19.7,20.54,0.669,14.24,14.13,5.45,6.41,0.125,7.75,603,171.7,0.551,2.1,1.75,2.05,1.8,0.4545,4.5,2.5,166.5,164.5,73,142,-69,215,0
2022,2022,2022-04-10,Gold Coast Suns,Carlton Blues,People First Stadium,0,train,1384.89,1504.19,-119.29,0.4225,8,7,1,1.6,1343.8,-1342.2,0.25,-36.88,-26,8,0,0,0,2,0.5,-12.25,1,8,0,0,3,0,0.222,-27.3,-29.16,0.692,-4.47,-4.9,-22.82,-24.26,-0.25,-24.62,149,157.5,0.376,2.05,1.78,2.35,1.63,0.4648,3.5,8.5,159.5,160.5,92,62,30,154,1
2022,2022,2022-04-14,Brisbane Lions,Collingwood Magpies,Gabba,0,train,1634.74,1401.41,233.33,0.8478,6,5,1,2.2,1373.6,-1371.4,0.625,27.5,-10,8,0,0,0,1,0.375,-8.0,-13,8,0,0,0,2,0.568,27.22,23.8,0.311,-5.98,-6.72,33.2,30.51,0.25,35.5,170,172.6,0.506,1.31,3.5,1.19,5,0.7277,-20.5,-29.5,173.5,169.5,98,91,7,189,1
2022,2022,2022-04-15,North Melbourne Kangaroos,Western Bulldogs,Marvel Stadium,0,train,1309.42,1545.3,-235.88,0.2722,6,6,0,1.4,1.4,0.0,0.125,-29.38,-11,8,0,0,0,2,0.5,-2.25,-38,8,0,0,0,1,0.156,-32.72,-34.93,0.361,-13.14,-13.48,-19.58,-21.45,-0.375,-27.12,550,181.0,0.516,6,1.13,5.2,1.18,0.1585,35.5,30.5,166.5,168.5,71,139,-68,210,0
2022,2022,2022-04-15,West Coast Eagles,Sydney Swans,Optus Stadium,0,train,1353.11,1628.64,-275.53,0.2294,6,6,0,2.6,3288.0,-3285.4,0.125,-23.88,13,8,0,0,1,0,0.625,15.12,11,8,0,0,1,0,0.278,-19.8,-18.82,0.667,13.06,12.39,-32.86,-31.21,-0.5,-39.0,94,153.6,0.638,3.35,1.33,2.18,1.72,0.2842,19.5,5.5,162.5,162.5,58,121,-63,179,0
2022,2022,2022-04-16,St Kilda Saints,Gold Coast Suns,Marvel Stadium,0,train,1590.47,1432.25,158.22,0.7833,6,6,0,1.4,1343.9,-1342.5,0.625,17.12,69,8,1,0,3,0,0.375,-27.0,30,8,0,0,1,0,0.78,30.07,30.12,0.444,-10.78,-12.03,40.85,42.15,0.25,44.12,551,181.1,0.515,1.4,3,1.35,3.35,0.6818,-16.5,-19.5,170.5,171.5,87,61,26,148,1
2022,2022,2022-04-16,Adelaide Crows,Richmond Tigers,Adelaide Oval,0,train,1346.7,1514.13,-167.43,0.3567,6,7,-1,1.5,654.6,-653.2,0.25,-11.62,-4,8,0,0,0,1,0.375,0.75,38,8,0,0,1,0,0.296,-7.81,-8.76,0.484,5.29,5.91,-13.1,-14.67,-0.125,-12.38,186,164.1,0.602,2.4,1.58,2.18,1.72,0.397,9.5,6.5,173.5,175.5,101,82,19,183,1
2022,2022,2022-04-16,Melbourne Demons,Greater Western Sydney Giants,MCG,0,train,1791.04,1449.91,341.13,0.912,9,7,2,1.9,712.4,-710.5,1.0,36.75,32,8,0,0,8,0,0.5,-5.62,-34,8,0,0,0,1,1.0,33.77,35.54,0.361,-12.87,-13.27,46.64,48.81,0.5,42.38,604,171.8,0.55,1.4,3,1.15,6,0.6818,-16.5,-34.5,163.5,159.5,120,53,67,173,1
