season,round,date,home_team,away_team,home_score,away_score,actual_margin_home,actual_total,market,signal,selection,model_number,model_home_fair_odds,model_away_fair_odds,open_number,close_number,open_odds,close_odds,clv,result,winner,bookmakers_surveyed
2026,8,2026-05-03,Sydney Swans,Melbourne Demons,131,114,17.0,245.0,total,market,over,,,,186.5,190.5,1.87,1.8,4.0,win,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,h2h,normal,Gold Coast Suns,,1.433,3.309,,,1.34,1.57,-0.1465,win,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,h2h,ml,Gold Coast Suns,,1.282,4.55,,,1.34,1.57,-0.1465,win,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,h2h,market,Greater Western Sydney Giants,,,,,,3.25,2.4,0.3542,loss,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,handicap,normal,Greater Western Sydney Giants,18.6,,,20.5,9.5,1.9,1.9,11.0,win,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,handicap,ml,Gold Coast Suns,26.5,,,-20.5,-9.5,1.9,1.9,-11.0,loss,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,handicap,market,Greater Western Sydney Giants,,,,20.5,9.5,1.9,1.9,11.0,win,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,total,normal,under,173.4,,,187.5,185.5,1.87,1.9,2.0,win,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,total,ml,under,146.6,,,187.5,185.5,1.87,1.9,2.0,win,tie,9
2026,8,2026-05-03,Gold Coast Suns,Greater Western Sydney Giants,83,63,20.0,146.0,total,market,under,,,,187.5,185.5,1.87,1.9,2.0,win,tie,9
