round_number,home_team,away_team,rules_margin,ml_margin,rules_home_prob,ml_h2h,game_date,date,home_win,home_margin,mkt_home_prob_open,h2h_home_close,h2h_away_close,home_line_close,date_gap
17,Gold Coast Suns,Collingwood Magpies,7.4,10.0,0.5814,0.3629,2026-07-04,2026-07-04,0.0,-6.0,0.5949,1.62,2.3,-7.5,0.0
17,Greater Western Sydney Giants,Fremantle Dockers,-19.2,-19.8,0.2973,0.2685,2026-07-04,2026-07-04,1.0,21.0,0.2873,3.9,1.26,25.5,0.0
17,Hawthorn Hawks,Melbourne Demons,29.9,23.3,0.7968,0.7979,2026-07-04,2026-07-04,0.0,-35.0,0.7292,1.42,2.9,-16.5,0.0
17,Richmond Tigers,Carlton Blues,-23.6,-24.3,0.2561,0.2623,2026-07-04,2026-07-04,0.0,-2.0,0.1585,5.8,1.14,31.5,0.0
17,Essendon Bombers,St Kilda Saints,-20.1,-20.5,0.2883,0.1362,2026-07-05,2026-07-05,0.0,-67.0,0.2286,4.2,1.23,25.5,0.0
17,Port Adelaide Power,North Melbourne Kangaroos,0.8,-9.4,0.5088,0.7111,2026-07-05,2026-07-05,1.0,21.0,0.6674,1.44,2.8,-15.5,0.0
18,Fremantle Dockers,Sydney Swans,28.5,7.1,0.7857,0.5584,2026-07-09,2026-07-09,1.0,38.0,0.6611,1.43,2.85,-12.5,0.0
18,Collingwood Magpies,North Melbourne Kangaroos,20.3,30.3,0.7137,0.733,2026-07-10,2026-07-10,1.0,4.0,0.642,1.39,3.0,-17.5,0.0
18,Adelaide Crows,Gold Coast Suns,26.9,27.3,0.7722,0.7921,2026-07-11,2026-07-11,1.0,79.0,0.6674,1.29,3.6,-19.5,0.0
18,Carlton Blues,Hawthorn Hawks,-20.1,-32.5,0.2883,0.5187,2026-07-11,2026-07-11,0.0,-64.0,0.3462,2.3,1.62,6.5,0.0
18,Greater Western Sydney Giants,Geelong Cats,-18.6,-6.3,0.3032,0.5457,2026-07-11,2026-07-11,1.0,13.0,0.4072,2.15,1.7,6.5,0.0
18,St Kilda Saints,Port Adelaide Power,6.8,6.1,0.5748,0.5381,2026-07-11,2026-07-11,1.0,14.0,0.5769,1.55,2.45,-8.5,0.0
18,Brisbane Lions,Essendon Bombers,55.3,82.4,0.9377,0.9773,2026-07-12,2026-07-12,1.0,90.0,0.9369,1.02,14.0,-67.5,0.0
18,Melbourne Demons,Richmond Tigers,39.0,59.1,0.8607,0.9878,2026-07-12,2026-07-12,1.0,46.0,0.8642,1.1,7.0,-41.5,0.0
18,Western Bulldogs,West Coast Eagles,44.0,43.1,0.8892,0.8535,2026-07-12,2026-07-12,1.0,16.0,0.8296,1.13,6.0,-37.5,0.0
19,Geelong Cats,St Kilda Saints,34.3,21.4,0.8295,0.637,2026-07-16,2026-07-16,1.0,27.0,0.7249,1.42,2.85,-15.5,0.0
19,Sydney Swans,Adelaide Crows,26.7,9.6,0.7709,0.5667,2026-07-17,2026-07-17,0.0,-16.0,0.6234,1.41,2.9,-14.5,0.0
19,Collingwood Magpies,Carlton Blues,20.3,16.3,0.7132,0.5862,2026-07-18,2026-07-18,1.0,21.0,0.5859,1.7,2.15,-5.5,0.0
19,North Melbourne Kangaroos,Melbourne Demons,-8.7,0.5,0.4041,0.6526,2026-07-18,2026-07-18,0.0,-16.0,0.3421,2.9,1.42,17.5,0.0
19,Port Adelaide Power,Fremantle Dockers,-28.5,-35.2,0.2142,0.3616,2026-07-18,2026-07-18,0.0,-28.0,0.1459,8.5,1.07,45.5,0.0
19,West Coast Eagles,Brisbane Lions,-44.9,-36.3,0.106,0.3543,2026-07-18,2026-07-18,0.0,-24.0,0.1497,7.0,1.1,41.5,0.0
19,Essendon Bombers,Greater Western Sydney Giants,-21.7,-18.1,0.273,0.1758,2026-07-19,2026-07-19,1.0,3.0,0.1447,6.5,1.11,38.5,0.0
19,Gold Coast Suns,Western Bulldogs,5.0,-13.2,0.5558,0.4358,2026-07-19,2026-07-19,0.0,-9.0,0.5,1.67,2.2,-6.5,0.0
19,Richmond Tigers,Hawthorn Hawks,-37.6,-46.7,0.1483,0.1058,2026-07-19,2026-07-19,0.0,-70.0,0.0995,10.0,1.05,49.5,0.0
21,Collingwood Magpies,Geelong Cats,0.5,-4.5,0.505,0.5048,2026-07-30,2026-07-30,0.0,-25.0,0.5,2.1,1.74,3.5,0.0
21,Fremantle Dockers,Western Bulldogs,37.2,14.0,0.8494,0.6115,2026-07-31,2026-07-31,1.0,37.0,0.7923,1.08,8.0,-44.5,0.0
21,Carlton Blues,Brisbane Lions,-22.4,-21.5,0.2667,0.5457,2026-08-01,2026-08-01,1.0,76.0,0.2555,3.35,1.33,21.5,0.0
21,Hawthorn Hawks,North Melbourne Kangaroos,42.7,64.9,0.8822,0.8445,2026-08-01,2026-08-01,1.0,16.0,0.7923,1.08,8.0,-42.5,0.0
21,Port Adelaide Power,Greater Western Sydney Giants,-10.8,-4.2,0.3822,0.5492,2026-08-01,2026-08-01,0.0,-12.0,0.484,2.0,1.8,1.5,0.0
21,St Kilda Saints,Sydney Swans,-14.4,11.7,0.3445,0.5481,2026-08-01,2026-08-01,0.0,-19.0,0.4327,2.45,1.55,11.5,0.0
21,Essendon Bombers,Adelaide Crows,-44.0,-29.8,0.1106,0.2692,2026-08-02,2026-08-02,0.0,-72.0,0.1109,7.5,1.09,40.5,0.0
21,Gold Coast Suns,Melbourne Demons,-5.5,-2.7,0.4391,0.5187,2026-08-02,2026-08-02,0.0,-9.0,0.4541,2.05,1.77,3.5,0.0
21,Richmond Tigers,West Coast Eagles,2.8,-17.8,0.5304,0.5187,2026-08-02,2026-08-02,1.0,11.0,0.504,2.15,1.7,4.5,0.0
22,Western Bulldogs,North Melbourne Kangaroos,25.1,25.1,0.7937,0.7937,,,,,,,,,
22,Brisbane Lions,Hawthorn Hawks,25.2,25.2,0.7937,0.7937,,,,,,,,,
22,Melbourne Demons,Fremantle Dockers,-14.5,-14.5,0.361,0.361,,,,,,,,,
22,Sydney Swans,Port Adelaide Power,45.7,45.7,0.9434,0.9434,,,,,,,,,
22,Geelong Cats,Essendon Bombers,51.5,51.5,0.9709,0.9709,,,,,,,,,
22,Adelaide Crows,Richmond Tigers,54.9,54.9,0.9804,0.9804,,,,,,,,,
22,Greater Western Sydney Giants,Gold Coast Suns,13.3,13.3,0.6757,0.6757,,,,,,,,,
22,West Coast Eagles,Collingwood Magpies,-24.0,-24.0,0.2653,0.2653,,,,,,,,,
22,St Kilda Saints,Carlton Blues,9.5,9.5,0.6369,0.6369,,,,,,,,,
