season,date,match,side,model_p,price,close,ev,won,pnl,clv
2025/26,2025-10-01,Norwich v West Brom,OVER,0.5166162215455729,2.0,2.02,0.0332324430911457,False,-1.0,-0.00990099009900991
2025/26,2025-10-03,Wrexham v Birmingham,OVER,0.47546144253013595,2.4,2.17,0.14110746207232627,False,-1.0,0.10599078341013835
2025/26,2025-10-04,Millwall v West Brom,UNDER,0.6738721873974596,1.6,1.54,0.07819549983593532,False,-1.0,0.038961038961039085
2025/26,2025-10-04,Preston v Charlton,UNDER,0.654552841491385,1.62,1.51,0.06037560321604385,True,0.6200000000000001,0.07284768211920545
2025/26,2025-10-04,Hull v Sheffield United,UNDER,0.5546516319359409,1.98,1.86,0.09821023123316297,True,0.98,0.06451612903225801
2025/26,2025-10-04,Portsmouth v Middlesbrough,OVER,0.5231194534625752,2.03,1.99,0.061932490529027495,False,-1.0,0.02010050251256268
2025/26,2025-10-05,Ipswich v Norwich,OVER,0.6652993932091971,1.73,1.72,0.150967950251911,True,0.73,0.005813953488372103
2025/26,2025-10-18,QPR v Millwall,UNDER,0.640298508393597,1.62,1.66,0.03728358359762729,False,-1.0,-0.02409638554216853
2025/26,2025-10-18,Sheffield United v Watford,UNDER,0.5759878810500321,1.8,1.73,0.03677818589005777,True,0.8,0.040462427745664886
2025/26,2025-10-18,Southampton v Swansea,OVER,0.5462659023423946,2.03,2.01,0.1089197817550609,False,-1.0,0.00995024875621886
2025/26,2025-10-18,Stoke v Wrexham,OVER,0.5718796690429561,2.0,1.92,0.14375933808591213,False,-1.0,0.04166666666666674
2025/26,2025-10-18,Norwich v Bristol City,OVER,0.5868173121271199,1.91,1.86,0.12082106616279886,False,-1.0,0.026881720430107503
2025/26,2025-10-21,Millwall v Stoke,UNDER,0.6541834629882866,1.63,1.62,0.06631904467090699,True,0.6299999999999999,0.006172839506172645
2025/26,2025-10-21,Portsmouth v Coventry,OVER,0.5817152071083757,1.8,1.87,0.04708737279507624,True,0.8,-0.03743315508021394
2025/26,2025-10-21,Blackburn v Sheffield United,UNDER,0.6302174073582024,1.71,1.63,0.07767176658252617,False,-1.0,0.04907975460122693
2025/26,2025-10-21,Bristol City v Southampton,OVER,0.5402351979386244,1.93,1.86,0.042653932021545105,True,0.9299999999999999,0.037634408602150504
2025/26,2025-10-24,Preston v Sheffield United,UNDER,0.6452634820546204,1.66,1.6,0.07113738021066984,False,-1.0,0.03749999999999987
2025/26,2025-10-25,Hull v Charlton,UNDER,0.6064501828423594,1.8,1.8,0.09161032911624689,True,0.8,0.0
2025/26,2025-10-25,Blackburn v Southampton,OVER,0.502976515879833,2.05,2.08,0.031101857553657686,True,1.0499999999999998,-0.014423076923077094
2025/26,2025-10-25,Swansea v Norwich,OVER,0.5177326594839542,2.04,1.89,0.05617462534726658,True,1.04,0.07936507936507953
2025/26,2025-10-25,Middlesbrough v Wrexham,OVER,0.589149605003754,2.0,1.92,0.17829921000750804,False,-1.0,0.04166666666666674
2025/26,2025-10-25,Ipswich v West Brom,OVER,0.5443233496767416,2.02,2.15,0.09953316634701803,False,-1.0,-0.0604651162790697
2025/26,2025-11-01,West Brom v Sheffield Weds,OVER,0.5407310988903484,1.91,1.85,0.032796398880565514,False,-1.0,0.03243243243243232
2025/26,2025-11-01,Southampton v Preston,OVER,0.5640797092703896,1.91,1.87,0.07739224470644412,False,-1.0,0.021390374331550666
2025/26,2025-11-01,Oxford v Millwall,UNDER,0.6222174535505838,1.67,1.64,0.03910314742947496,False,-1.0,0.018292682926829285
2025/26,2025-11-01,Sheffield United v Derby,UNDER,0.6177145767720901,1.68,1.6,0.03776048897711126,False,-1.0,0.04999999999999982
2025/26,2025-11-01,Norwich v Hull,OVER,0.6098575674428653,1.73,1.71,0.05505359167615698,False,-1.0,0.011695906432748648
