Date,Season,HomeTeam,AwayTeam,total,over25,mkt_open,mkt_close,resid,xi_shots90_sum,xi_sot90_sum,xi_goals90_sum,xi_minshare_sum,xi_minshare_min
2024-10-18,2024/25,Leeds,Sheffield United,2.0,0,0.45897435897435895,0.48843187660668386,-0.48843187660668386,25.50399480600121,8.875101937190923,3.1099890930042573,1.2280774679530317,0.5409741012756089
2024-10-19,2024/25,Preston,Coventry,1.0,0,0.4831168831168831,0.4438775510204082,-0.4438775510204082,20.714270593636286,5.827133318196914,0.7570794305707943,1.1854459297696278,0.5590160682404285
2024-10-19,2024/25,Sheffield Weds,Burnley,2.0,0,0.43444730077120824,0.3848039215686275,-0.3848039215686275,15.567029751009517,5.911770348306296,1.482590111837585,1.14222397264238,0.5491956972268824
2024-10-19,2024/25,Stoke,Norwich,2.0,0,0.5274151436031332,0.5524296675191815,-0.5524296675191815,25.694903629205648,9.098609032755027,3.4036152554910464,1.2415684945743988,0.5989146521953626
2024-10-19,2024/25,QPR,Portsmouth,3.0,1,0.5038961038961038,0.5089974293059126,0.49100257069408737,23.391652887207236,7.832617755418239,3.884071651362738,1.16225369623485,0.5438731696576021
2024-10-19,2024/25,Oxford,West Brom,2.0,0,0.46632124352331605,0.46272493573264784,-0.46272493573264784,23.718408626229284,6.7810261753639,2.305538255462215,1.4863988306326075,0.7361088074307514
2024-10-19,2024/25,Cardiff,Plymouth,5.0,1,0.5298701298701299,0.5818639798488666,0.4181360201511334,28.009814885153645,8.644500967495112,1.9889757767039715,1.0912111665124504,0.5443037974683544
2024-10-19,2024/25,Middlesbrough,Bristol City,2.0,0,0.5390625,0.5685279187817259,-0.5685279187817259,25.753676683157664,8.542872793116278,2.0554456234754115,1.3099843447954607,0.6468703054581872
2024-10-19,2024/25,Luton,Watford,3.0,1,0.557840616966581,0.5473145780051151,0.45268542199488493,24.311297308701693,8.18725909069083,1.6382807242680733,1.219239582529743,0.5585822120118149
2024-10-19,2024/25,Blackburn,Swansea,1.0,0,0.49870129870129865,0.5256410256410255,-0.5256410256410255,21.028928675929862,8.796927674695036,1.4973032833885513,1.4043481431827156,0.6457070213182085
2024-10-19,2024/25,Millwall,Derby,2.0,0,0.4177215189873418,0.3882063882063882,-0.3882063882063882,25.025590299349204,10.336765910601336,3.874327719190812,1.4635199665317784,0.65015680761328
2024-10-22,2024/25,Stoke,Bristol City,4.0,1,0.4858611825192801,0.5,0.5,24.07528474749729,8.156557255237834,2.5856222594864677,1.3824647602103912,0.6881953332676971
2024-10-22,2024/25,Sheffield Weds,Swansea,0.0,0,0.46923076923076923,0.4564102564102564,-0.4564102564102564,15.388752620623027,4.330266908111506,1.3991520269680615,1.1648107878592135,0.5210712879086254
2024-10-22,2024/25,Preston,Norwich,4.0,1,0.46923076923076923,0.46272493573264784,0.5372750642673522,20.65147227657088,5.812953314792119,1.9278165108951562,1.3203409520078182,0.617739096420888
2024-10-22,2024/25,QPR,Coventry,2.0,0,0.5167095115681234,0.502577319587629,-0.502577319587629,28.18640828932536,9.562239287944525,0.7145652636743157,1.2664714134037598,0.6106634835372525
2024-10-22,2024/25,Leeds,Watford,3.0,1,0.5864661654135338,0.598014888337469,0.40198511166253104,27.378781352316224,9.463075961115155,3.5697300947133543,1.1746297136062558,0.5865365465046803
2024-10-22,2024/25,Cardiff,Portsmouth,2.0,0,0.4910025706940874,0.5282051282051282,-0.5282051282051282,26.104909919881834,8.277197484221148,2.6168176779645247,1.1822249614254423,0.5774787255095982
2024-10-22,2024/25,Oxford,Derby,2.0,0,0.44897959183673464,0.4652956298200514,-0.4652956298200514,22.2399729126478,6.508882006335234,2.9564007225664266,1.3350389013471666,0.6429826273667772
2024-10-23,2024/25,Blackburn,West Brom,0.0,0,0.4547803617571059,0.44501278772378516,-0.44501278772378516,21.53959349242546,7.81712819771249,3.14522161960382,1.4089182156100175,0.6904575674618694
2024-10-23,2024/25,Hull,Burnley,2.0,0,0.4547803617571059,0.4601542416452442,-0.4601542416452442,25.282324390605773,7.524167508123854,2.0012248966401422,1.104397522477584,0.42858559809561597
2024-10-23,2024/25,Middlesbrough,Sheffield United,1.0,0,0.49870129870129865,0.5103092783505154,-0.5103092783505154,27.597378839168023,8.656407121831279,2.613016008329791,1.2804872204502131,0.6123023188124576
2024-10-23,2024/25,Millwall,Plymouth,1.0,0,0.5324675324675325,0.5372750642673522,-0.5372750642673522,25.027533142075818,8.146862538644083,1.3534286570827796,1.4041247325871025,0.6329465436873947
2024-10-25,2024/25,Portsmouth,Sheffield Weds,3.0,1,0.47557840616966585,0.48843187660668386,0.5115681233933161,22.75920560733057,6.076167609711561,2.6975170232037895,1.0893419295218008,0.4878848063555114
2024-10-26,2024/25,Swansea,Millwall,1.0,0,0.41878172588832485,0.3985148514851485,-0.3985148514851485,23.658110992623573,8.197171368838191,1.9892245388663088,1.4938774069016563,0.7282216369134719
2024-10-26,2024/25,West Brom,Cardiff,0.0,0,0.47409326424870474,0.48205128205128206,-0.48205128205128206,29.32846269955418,9.64141458109915,2.3321439532437145,1.3042921573276385,0.6400318820364651
2024-10-26,2024/25,Watford,Blackburn,1.0,0,0.5193798449612403,0.502577319587629,-0.502577319587629,20.663168253407513,7.819112031259191,2.359506984123692,1.2508993114503275,0.5957235206364992
2024-10-26,2024/25,Sheffield United,Stoke,2.0,0,0.5012987012987012,0.5051546391752577,-0.5051546391752577,22.37309099272396,8.940584909109784,2.244674223091817,1.3648593659862882,0.6373301831069108
2024-10-26,2024/25,Plymouth,Preston,6.0,1,0.5104166666666667,0.4652956298200514,0.5347043701799485,18.48035867390366,5.186156143218749,1.4951733898896808,1.2734578913819212,0.5202856859438548
2024-10-26,2024/25,Derby,Hull,2.0,0,0.5116883116883117,0.5141388174807198,-0.5141388174807198,27.709992586677867,7.3223958212378975,2.831916634407115,1.2052706510302862,0.5030135362118368
2024-10-26,2024/25,Burnley,QPR,0.0,0,0.4611398963730569,0.4242424242424242,-0.4242424242424242,27.03006083897492,10.533627653005645,1.186456862539698,1.2401685084135448,0.5832086947851232
2024-10-26,2024/25,Bristol City,Leeds,0.0,0,0.5103626943005183,0.4910025706940874,-0.4910025706940874,25.556583514015593,8.58554453043509,2.757150434435225,1.1918800940037335,0.5663289917993246
2024-10-27,2024/25,Norwich,Middlesbrough,6.0,1,0.5644329896907216,0.5746835443037974,0.4253164556962026,27.58832859526307,8.929103838276626,2.5711409555164284,1.2999908519725183,0.63923805840263
2024-11-01,2024/25,Luton,West Brom,2.0,0,0.47814910025706947,0.48843187660668386,-0.48843187660668386,24.995618029238734,7.497329963134065,1.8037480976466482,1.180679881102218,0.5762066045723963
2024-11-02,2024/25,Stoke,Derby,3.0,1,0.4831168831168831,0.493573264781491,0.506426735218509,22.280386760294007,7.022339834997774,2.195640376312754,1.2721904829141089,0.5970237508623238
2024-11-02,2024/25,Sheffield Weds,Watford,8.0,1,0.49350649350649356,0.5064267352185091,0.4935732647814909,22.841054420002443,6.646853798979045,2.1684966019849314,1.163788143381449,0.551682931686915
2024-11-02,2024/25,QPR,Sunderland,0.0,0,0.43222506393861887,0.46272493573264784,-0.46272493573264784,26.54841560780146,9.584084091808219,3.3449068783059577,1.1271693842552226,0.5409419581786202
2024-11-02,2024/25,Preston,Bristol City,4.0,1,0.4245524296675191,0.42784810126582273,0.5721518987341773,21.015639801597658,7.829843256588736,2.7256748206854433,1.486707565698661,0.6980659384707887
2024-11-02,2024/25,Oxford,Swansea,3.0,1,0.4384615384615385,0.45384615384615384,0.5461538461538462,20.163281172708228,7.419090497904305,1.9135831104277683,1.4008826908721255,0.6388093162286711
2024-11-02,2024/25,Hull,Portsmouth,2.0,0,0.5739795918367347,0.5721518987341772,-0.5721518987341772,26.30556853883705,5.262869749439451,1.6091019378531006,1.0249584174383624,0.4925076907809864
2024-11-02,2024/25,Cardiff,Norwich,3.0,1,0.545219638242894,0.5549872122762148,0.44501278772378516,28.102247266126327,8.407547938070078,2.008383874779738,1.1007104180066989,0.5268354677876625
2024-11-02,2024/25,Blackburn,Sheffield United,2.0,0,0.4358974358974359,0.4717948717948718,-0.4717948717948718,21.305567334920514,7.624402471580007,1.977436688948979,1.4001575052389823,0.6848953238113872
2024-11-02,2024/25,Middlesbrough,Coventry,3.0,1,0.5717948717948719,0.5889724310776941,0.41102756892230585,29.24328649394048,8.669710882090573,2.2482949340092007,1.3669659560349525,0.6473948586624643
2024-11-03,2024/25,Millwall,Burnley,1.0,0,0.35083532219570407,0.337962962962963,-0.337962962962963,22.270408246219354,6.936492785879567,1.2623630109803694,1.5125153188930613,0.6831731236042334
2024-11-05,2024/25,Sheffield Weds,Norwich,2.0,0,0.4743589743589744,0.4974226804123712,-0.4974226804123712,20.074426871528715,6.0371600813353545,2.9594878120135935,1.1875110578841457,0.5828370594552377
2024-11-05,2024/25,QPR,Middlesbrough,5.0,1,0.5089974293059126,0.5335051546391752,0.46649484536082475,29.941546782139515,9.182858301257541,2.033986148648753,1.2875432632207287,0.6144160222090026
2024-11-05,2024/25,Swansea,Watford,1.0,0,0.5218508997429305,0.5372750642673522,-0.5372750642673522,24.987686076056924,7.498123389610257,2.135017008311207,1.2954357024816372,0.5585523054040654
2024-11-05,2024/25,Bristol City,Sheffield United,3.0,1,0.45268542199488493,0.4974226804123712,0.5025773195876289,26.100541874610062,10.579006426575539,2.687820604711294,1.2283022393624883,0.5486354093771868
2024-11-05,2024/25,Plymouth,Portsmouth,1.0,0,0.5487179487179488,0.5473145780051151,-0.5473145780051151,25.535832949812153,8.771080313936535,3.4247895942809277,0.998194866794922,0.42094292803970224
2024-11-06,2024/25,Blackburn,Stoke,2.0,0,0.5116883116883117,0.5141388174807198,-0.5141388174807198,22.230479237009995,7.903869508451375,2.273567085591422,1.3736241574617414,0.6771322378716745
2024-11-06,2024/25,Coventry,Derby,3.0,1,0.5064935064935064,0.4845360824742268,0.5154639175257731,23.93641409067572,6.206321006022885,2.352492154721355,1.3428053361933505,0.6508846495996837
2024-11-06,2024/25,Luton,Cardiff,1.0,0,0.5300261096605744,0.5256410256410255,-0.5256410256410255,31.818641760194986,10.554637692169738,3.430177539845272,1.2968190854870776,0.5999005964214712
2024-11-06,2024/25,Millwall,Leeds,1.0,0,0.40703517587939697,0.4160401002506265,-0.4160401002506265,26.477036721073745,8.417552278597483,2.000034948770349,1.4339967859956078,0.6749324585102278
2024-11-06,2024/25,Preston,Sunderland,0.0,0,0.42820512820512824,0.39408866995073893,-0.39408866995073893,19.707006691077765,6.20102015406699,2.6087213388200032,1.2635440987558,0.46326252192555056
2024-11-07,2024/25,West Brom,Burnley,0.0,0,0.3880597014925373,0.3916256157635468,-0.3916256157635468,27.936983959276052,7.67814308329366,2.245103854871846,1.3896659050996654,0.6621634755564195
2024-11-08,2024/25,Watford,Oxford,1.0,0,0.4974226804123712,0.493573264781491,-0.493573264781491,23.64958058895941,8.271063898331164,4.126046712614125,1.230040538567549,0.5723919079730265
2024-11-09,2024/25,Stoke,Millwall,2.0,0,0.4156171284634761,0.4089775561097257,-0.4089775561097257,21.610636285579357,7.830346340939288,1.8721751652320813,1.2834496276822236,0.6074016056393186
2024-11-09,2024/25,Portsmouth,Preston,4.0,1,0.44961240310077516,0.41000000000000003,0.59,23.758741006337882,6.102619106446711,1.8906919055312108,1.3039641291532644,0.578531185133933
2024-11-09,2024/25,Norwich,Bristol City,2.0,0,0.5324675324675325,0.5128865979381443,-0.5128865979381443,22.422360509133224,7.476871350380815,2.8377856791552936,1.2635524088040633,0.6091492776886035
2024-11-09,2024/25,Leeds,QPR,2.0,0,0.5618556701030928,0.5487179487179488,-0.5487179487179488,27.95070429048434,7.542210424215909,1.1619879631592585,1.2934785731346783,0.6457776457776457
2024-11-09,2024/25,Derby,Plymouth,2.0,0,0.5362694300518135,0.5218508997429305,-0.5218508997429305,20.29336670625863,5.791203421496451,1.6689164022150682,1.223059885839299,0.5534143690087954
2024-11-09,2024/25,Cardiff,Blackburn,4.0,1,0.4987080103359174,0.4652956298200514,0.5347043701799485,24.859829123280875,9.664231135377666,1.7505759964492267,1.3531367835672539,0.6425591098748261
2024-11-09,2024/25,Middlesbrough,Luton,6.0,1,0.5564102564102563,0.564885496183206,0.43511450381679395,27.143882707597975,7.703133756991843,1.3337093496183297,1.1965877337950288,0.525680761567412
2024-11-10,2024/25,Burnley,Swansea,1.0,0,0.42091836734693877,0.414572864321608,-0.414572864321608,25.02537398917802,7.631575402047623,1.4450666807544952,1.5350219705288985,0.7596695821185617
2024-11-10,2024/25,Hull,West Brom,3.0,1,0.4583333333333333,0.4564102564102564,0.5435897435897437,25.672335649830984,7.056425005260943,1.9932238873292554,1.2262374019816504,0.5696619128353446
2024-11-10,2024/25,Sheffield United,Sheffield Weds,1.0,0,0.4545454545454546,0.44757033248081834,-0.44757033248081834,23.90732108118481,8.06797034626408,2.7332149463845172,1.3860433102765723,0.6503648195622165
