season,date,home,away,actual,over,old_1x2,old_ou,old_lam,new_1x2,new_ou,new_lam,mkt_src,mkt_1x2
2020/21,2021-05-01,Brentford,Watford,H,False,0.6534458137083933,0.7678707267558819,2.823188474379387,0.8945047785522979,0.3725140079684784,1.9542929443212271,PSCH,0.8206363277381864
2020/21,2021-05-01,Norwich,Reading,H,True,0.7680647110868669,0.7096831492000448,2.640931551077406,0.46271176731264124,0.5760755089741076,2.934968186019164,PSCH,0.4478985017849326
2020/21,2021-05-04,Luton,Rotherham,D,False,1.2762567999111012,0.6341238401104843,2.552684913520306,1.3071466065633761,0.635444470431656,2.5551766554804587,PSCH,1.2836250798780262
2020/21,2021-05-08,Middlesbrough,Wycombe,A,True,1.3175195286627892,0.96154963827977,2.2185464472157745,1.5834290932530495,0.794294362564903,2.4834117321144142,PSCH,1.5373593425509051
2020/21,2021-05-08,Coventry,Millwall,H,True,0.9281609044446426,0.9080745771028146,2.2976193967752048,1.1057879724172053,0.9145422613400381,2.287874999382252,PSCH,0.9597988701675566
2020/21,2021-05-08,Bournemouth,Stoke,A,False,1.4413275367452913,0.5617681025035653,2.398023333180821,1.7601445298588037,0.7622829193948074,2.812158389235959,PSCH,1.9156606068820652
2020/21,2021-05-08,Barnsley,Norwich,D,True,1.2534081765973564,0.8036319137352173,2.4669039812474836,1.3522794825326128,0.7141665477840208,2.632326490995488,PSCH,1.3064601047947497
2020/21,2021-05-08,Cardiff,Rotherham,D,False,1.3425837426937572,0.6764867396668381,2.6399580953563575,1.4340850948814168,0.6947484619269192,2.677545953596781,PSCH,1.3205745742072579
2020/21,2021-05-08,Watford,Swansea,H,False,0.999454973134924,0.6329932577401982,2.5503343792801125,0.9134946445721539,0.3280874870868199,1.8384012487116823,PSCH,0.9069322451846472
2021/22,2021-08-06,Bournemouth,West Brom,D,True,1.348690338722524,0.6527732864216721,2.7583733021386587,1.348690338722524,0.6527732864216721,2.7583733021386587,PSCH,1.23972426086631
2021/22,2021-08-07,Preston,Hull,A,True,1.2716094530417472,0.8078848580303686,2.4597372703838736,1.2716094530417472,0.8078848580303686,2.4597372703838736,PSCH,1.3026061888097016
2021/22,2021-08-07,Sheffield United,Birmingham,A,False,1.4705759131174907,0.6386589952758756,2.5621135441611576,1.4705759131174907,0.6386589952758756,2.5621135441611576,PSCH,1.8311427752514358
2021/22,2021-08-07,Bristol City,Blackpool,D,False,1.2435796190287198,0.6003857004786343,2.4814091304865666,1.2435796190287198,0.6003857004786343,2.4814091304865666,PSCH,1.1902380555466696
2021/22,2021-08-08,Fulham,Middlesbrough,D,False,1.2838160814591075,0.6917481596462381,2.671417775147262,1.2838160814591075,0.6917481596462381,2.671417775147262,PSCH,1.176108846016401
2021/22,2021-08-14,West Brom,Luton,H,True,0.7321375202512305,0.7998419192309082,2.4735493673812057,0.7321375202512305,0.7998419192309082,2.4735493673812057,PSCH,0.5545548635601862
2021/22,2021-08-14,Swansea,Sheffield United,D,False,1.2767644242477914,0.6361999001181952,2.5569706245551442,1.2767644242477914,0.6361999001181952,2.5569706245551442,PSCH,1.237429948076537
2021/22,2021-08-14,Peterboro,Derby,H,True,0.9137989138806547,0.7147794806870591,2.6307700778438643,0.9137989138806547,0.7147794806870591,2.6307700778438643,PSCH,0.9317528726145982
2021/22,2021-08-14,Hull,QPR,A,True,1.1774607097858254,0.6489389258956251,2.766773810735521,1.1774607097858254,0.6489389258956251,2.766773810735521,PSCH,1.1723256243042903
2021/22,2021-08-14,Huddersfield,Fulham,A,True,1.0558114533454155,0.5929399201429199,2.894085380400923,1.0558114533454155,0.5929399201429199,2.894085380400923,PSCH,0.6853638242217758
2021/22,2021-08-14,Blackpool,Cardiff,A,False,0.8933013272892355,0.7711087220296571,2.8291000965576973,0.8933013272892355,0.7711087220296571,2.8291000965576973,PSCH,1.0674389838123022
2021/22,2021-08-17,Blackpool,Coventry,A,False,1.4040510827091497,0.5608916014394747,2.3963930723660636,1.4040510827091497,0.5608916014394747,2.3963930723660636,PSCH,1.0661419036373256
2021/22,2021-08-17,Millwall,Fulham,A,True,1.225703230855284,0.789658080940789,2.4915205958054534,1.225703230855284,0.789658080940789,2.4915205958054534,PSCH,0.8425333447628076
