year,date,market_id,home_team,away_team,pregame_home_back,pregame_away_back,pregame_home_lay,pregame_away_lay,ht_home_back,ht_away_back,ht_home_lay,ht_away_lay,ht_matched_volume,ft_home_score,ft_away_score,ft_margin,ft_total,home_won,ht_home_impl_prob,ht_away_impl_prob,pregame_home_impl_prob,pregame_away_impl_prob,home_price_drift,away_price_drift,home_prob_shift,away_prob_shift,ht_deficit,deficit_band,ht_disposal_diff,ht_inside50_diff,ht_clearance_diff,ht_score_shot_diff,ft_score_diff,away_won,ht_home_score,ht_away_score,ht_home_goals,ht_home_behinds,ht_away_goals,ht_away_behinds,ft_home_score_afl,ft_away_score_afl,ht_score_diff,ht_total_score,ht_leader
2022,22/04/2022,197603686,GWS,St Kilda,2.14,1.84,2.2,1.87,1.51,2.82,1.55,2.98,89379.86,60.0,77.0,-17.0,137.0,0,0.6622516556291391,0.3546099290780142,0.4672897196261682,0.5434782608695652,0.6300000000000001,-0.9799999999999998,0.1949619360029709,-0.188868331791551,,,,,,,-17.0,1,49.0,38.0,7.0,7.0,5.0,8.0,60.0,77.0,11.0,87.0,home
2022,23/04/2022,197604154,Western Bulldogs,Adelaide,1.27,4.7,1.28,4.8,1.39,3.35,1.42,3.5,156047.77,62.0,63.0,-1.0,125.0,0,0.7194244604316548,0.2985074626865671,0.7874015748031495,0.2127659574468085,-0.1199999999999998,1.35,-0.0679771143714947,0.0857415052397586,,,,,,,-1.0,1,25.0,25.0,3.0,7.0,3.0,7.0,62.0,63.0,0.0,50.0,level
2022,23/04/2022,197604622,Port Adelaide,West Coast,1.19,5.7,1.21,6.0,1.01,10.0,1.01,95.0,379698.98,117.0,33.0,84.0,150.0,1,0.99009900990099,0.1,0.8403361344537815,0.175438596491228,0.1799999999999999,-4.3,0.1497628754472085,-0.075438596491228,,,,,,,84.0,0,53.0,10.0,8.0,5.0,1.0,4.0,117.0,33.0,43.0,63.0,home
2022,23/04/2022,197605450,Fremantle,Carlton,1.63,2.56,1.64,2.58,1.15,6.8,1.16,7.8,257154.59,97.0,62.0,35.0,159.0,1,0.8695652173913044,0.1470588235294117,0.6134969325153374,0.390625,0.48,-4.24,0.256068284875967,-0.2435661764705882,,,,,,,35.0,0,48.0,29.0,7.0,6.0,4.0,5.0,97.0,62.0,19.0,77.0,home
2022,24/04/2022,197605918,North Melbourne,Geelong,5.5,1.21,5.6,1.22,36.0,1.19,95.0,1.01,30989.07,61.0,121.0,-60.0,182.0,0,0.0277777777777777,0.8403361344537815,0.1818181818181818,0.8264462809917356,-30.5,0.02,-0.154040404040404,0.0138898534620459,,,,,,,-60.0,1,16.0,53.0,2.0,4.0,7.0,11.0,61.0,121.0,-37.0,69.0,away
2022,24/04/2022,197606912,Gold Coast,Brisbane,3.9,1.34,4.0,1.37,12.5,1.09,25.0,1.09,59030.15,80.0,132.0,-52.0,212.0,0,0.08,0.9174311926605504,0.2564102564102564,0.7462686567164178,-8.6,0.25,-0.1764102564102564,0.1711625359441325,,,,,,,-52.0,1,34.0,57.0,4.0,10.0,9.0,3.0,80.0,132.0,-23.0,91.0,away
2022,24/04/2022,197608215,Richmond,Melbourne,4.1,1.31,4.3,1.32,3.0,1.46,3.4,1.49,41161.85,54.0,76.0,-22.0,130.0,0,0.3333333333333333,0.684931506849315,0.2439024390243902,0.7633587786259541,1.0999999999999996,-0.1499999999999999,0.089430894308943,-0.0784272717766391,,,,,,,-22.0,1,33.0,30.0,5.0,3.0,3.0,12.0,54.0,76.0,3.0,63.0,home
2022,25/04/2022,197608683,Hawthorn,Sydney,2.6,1.61,2.64,1.63,1.52,2.54,1.84,2.74,85541.37,68.0,109.0,-41.0,177.0,0,0.6578947368421053,0.3937007874015747,0.3846153846153846,0.6211180124223602,1.08,-0.93,0.2732793522267207,-0.2274172250207854,,,,,,,-41.0,1,47.0,32.0,7.0,5.0,4.0,8.0,68.0,109.0,15.0,79.0,home
2022,25/04/2022,197609151,Essendon,Collingwood,2.6,1.61,2.62,1.62,3.3,1.42,3.5,1.45,53909.87,82.0,93.0,-11.0,175.0,0,0.303030303030303,0.7042253521126761,0.3846153846153846,0.6211180124223602,-0.6999999999999997,0.1900000000000001,-0.0815850815850815,0.0831073396903159,,,,,,,-11.0,1,30.0,38.0,4.0,6.0,6.0,2.0,82.0,93.0,-8.0,68.0,away
2022,30/04/2022,198013561,Geelong,Fremantle,1.27,4.5,1.29,4.6,1.41,3.1,1.5,3.5,105457.27,66.0,69.0,-3.0,135.0,0,0.7092198581560284,0.3225806451612903,0.7874015748031495,0.2222222222222222,-0.1399999999999999,1.4,-0.0781817166471211,0.1003584229390681,,,,,,,-3.0,1,31.0,31.0,5.0,1.0,4.0,7.0,66.0,69.0,0.0,62.0,level
2022,30/04/2022,198014497,Melbourne,Hawthorn,1.18,6.2,1.19,6.4,1.11,7.2,1.16,13.5,235019.72,91.0,81.0,10.0,172.0,1,0.9009009009009008,0.1388888888888889,0.8474576271186441,0.1612903225806451,0.0699999999999998,-1.0,0.0534432737822566,-0.0224014336917562,,,,,,,10.0,0,47.0,38.0,7.0,5.0,5.0,8.0,91.0,81.0,9.0,85.0,home
2022,30/04/2022,198014998,St Kilda,Port Adelaide,1.74,2.3,1.76,2.32,1.18,3.7,1.35,5.0,94549.73,42.0,43.0,-1.0,85.0,0,0.8474576271186441,0.2702702702702702,0.5747126436781609,0.4347826086956522,0.56,-1.4000000000000004,0.2727449834404832,-0.164512338425382,,,,,,,-1.0,1,24.0,10.0,3.0,6.0,1.0,4.0,42.0,43.0,14.0,34.0,home
2022,30/04/2022,198015466,Carlton,North Melbourne,1.26,4.6,1.27,4.8,1.23,3.9,1.3,5.6,127728.37,114.0,64.0,50.0,178.0,1,0.8130081300813008,0.2564102564102564,0.7936507936507936,0.2173913043478261,0.03,0.6999999999999997,0.0193573364305071,0.0390189520624303,,,,,,,50.0,0,53.0,45.0,8.0,5.0,7.0,3.0,114.0,64.0,8.0,98.0,home
2022,1/05/2022,198015934,Collingwood,Gold Coast,1.53,2.86,1.54,2.88,1.11,7.4,1.16,25.0,130560.08,115.0,90.0,25.0,205.0,1,0.9009009009009008,0.1351351351351351,0.6535947712418301,0.3496503496503497,0.4199999999999999,-4.540000000000001,0.2473061296590707,-0.2145152145152145,,,,,,,25.0,0,71.0,50.0,11.0,5.0,8.0,2.0,115.0,90.0,21.0,121.0,home
2022,1/05/2022,198016402,Western Bulldogs,Essendon,1.41,3.4,1.42,3.45,1.02,2.3,1.05,42.0,136233.79,103.0,71.0,32.0,174.0,1,0.9803921568627452,0.4347826086956522,0.7092198581560284,0.2941176470588235,0.3899999999999999,1.1,0.2711722987067166,0.1406649616368286,,,,,,,32.0,0,39.0,25.0,6.0,3.0,3.0,7.0,103.0,71.0,14.0,64.0,home
2022,1/05/2022,198017166,Sydney,Brisbane,1.93,2.06,1.94,2.08,8.2,1.08,15.0,1.09,82853.11,89.0,113.0,-24.0,202.0,0,0.1219512195121951,0.9259259259259258,0.5181347150259068,0.4854368932038835,-6.27,0.98,-0.3961834955137117,0.4404890327220423,,,,,,,-24.0,1,16.0,49.0,2.0,4.0,7.0,7.0,89.0,113.0,-33.0,65.0,away
2022,6/05/2022,198325382,Port Adelaide,Western Bulldogs,1.59,2.64,1.61,2.68,1.55,2.46,1.69,2.8,152500.16,86.0,69.0,17.0,155.0,1,0.6451612903225806,0.4065040650406504,0.6289308176100629,0.3787878787878788,0.04,0.1800000000000001,0.0162304727125177,0.0277161862527716,,,,,,,17.0,0,46.0,42.0,7.0,4.0,6.0,6.0,86.0,69.0,4.0,88.0,home
2022,7/05/2022,198328506,Richmond,Collingwood,1.61,2.58,1.62,2.62,1.12,7.8,1.15,9.0,100678.9,113.0,86.0,27.0,199.0,1,0.8928571428571428,0.1282051282051282,0.6211180124223602,0.3875968992248061,0.49,-5.22,0.2717391304347826,-0.2593917710196779,,,,,,,27.0,0,61.0,37.0,9.0,7.0,5.0,7.0,113.0,86.0,24.0,98.0,home
2022,7/05/2022,198328975,Sydney,Gold Coast,1.22,5.3,1.23,5.4,1.72,2.04,1.76,2.3,109120.64,61.0,75.0,-14.0,136.0,0,0.5813953488372093,0.4901960784313725,0.819672131147541,0.1886792452830188,-0.5,3.26,-0.2382767823103316,0.3015168331483536,,,,,,,-14.0,1,31.0,48.0,4.0,7.0,7.0,6.0,61.0,75.0,-17.0,79.0,away
2022,7/05/2022,198329443,GWS,Geelong,1.96,2.02,1.98,2.04,4.8,1.21,5.0,1.27,81021.21,35.0,88.0,-53.0,123.0,0,0.2083333333333333,0.8264462809917356,0.5102040816326531,0.495049504950495,-2.84,0.81,-0.3018707482993197,0.3313967760412405,,,,,,,-53.0,1,23.0,43.0,3.0,5.0,6.0,7.0,35.0,88.0,-20.0,66.0,away
