season,team,h_a,game_n,ppda,xg,xga,npxg,npxga,wins,draws,loses,ppda_rolling10
2014/15,Chelsea,a,29,19.18,0.758601,1.32415,0.758601,1.32415,1,0,0,11.94
2014/15,Chelsea,h,30,16.11,3.28546,0.277288,2.52429,0.277288,1,0,0,12.66
2014/15,Chelsea,a,31,6.82,0.920984,0.780982,0.920984,0.780982,1,0,0,12.76
2014/15,Chelsea,h,32,14.59,1.1493,0.744613,1.1493,0.744613,1,0,0,13.08
2014/15,Chelsea,a,33,12.09,0.853305,1.07482,0.853305,1.07482,0,1,0,13.17
2014/15,Chelsea,a,34,11.69,1.51717,0.600074,1.51717,0.600074,1,0,0,12.33
2014/15,Chelsea,h,35,4.14,1.5619,0.41646,0.703655,0.41646,1,0,0,11.07
2014/15,Chelsea,h,36,10.78,0.535272,1.33324,0.535272,1.33324,0,1,0,11.27
2014/15,Chelsea,a,37,12.32,1.07679,1.22743,1.07679,0.466261,0,0,1,11.66
2014/15,Chelsea,h,38,10.42,2.52912,1.39272,1.76796,1.39272,1,0,0,11.81
2014/15,Crystal Palace,a,1,14.17,0.158151,1.55411,0.158151,1.55411,0,0,1,
2014/15,Crystal Palace,h,2,8.15,0.617283,1.33957,0.617283,1.33957,0,0,1,
2014/15,Crystal Palace,a,3,9.76,1.66056,1.69776,1.66056,1.69776,0,1,0,10.69
2014/15,Crystal Palace,h,4,12.73,0.780534,1.2493,0.780534,0.488131,0,1,0,11.2
2014/15,Crystal Palace,a,5,22.95,1.62886,2.56122,0.867691,1.80005,1,0,0,13.55
2014/15,Crystal Palace,h,6,8.97,2.1144,0.453547,2.1144,0.453547,1,0,0,12.79
2014/15,Crystal Palace,a,7,12.88,0.616109,1.07209,0.616109,1.07209,0,0,1,12.8
2014/15,Crystal Palace,h,8,20.83,1.16779,1.01515,1.16779,1.01515,0,0,1,13.8
2014/15,Crystal Palace,a,9,24.77,1.77354,1.45724,1.01238,0.696103,0,1,0,15.02
2014/15,Crystal Palace,h,10,7.5,0.766023,0.727981,0.766023,0.727981,0,0,1,14.27
2014/15,Crystal Palace,a,11,26.0,0.400837,0.956776,0.400837,0.956776,0,0,1,15.45
2014/15,Crystal Palace,h,12,12.85,1.47309,0.952958,1.47309,0.952958,1,0,0,15.92
2014/15,Crystal Palace,a,13,19.5,1.50956,1.4626,0.748395,1.4626,0,1,0,16.9
2014/15,Crystal Palace,h,14,6.03,0.801741,0.192439,0.801741,0.192439,0,0,1,16.23
2014/15,Crystal Palace,a,15,17.0,1.17369,0.958788,1.17369,0.958788,0,1,0,15.63
2014/15,Crystal Palace,h,16,7.42,0.498092,0.898532,0.498092,0.898532,0,1,0,15.48
2014/15,Crystal Palace,a,17,19.05,0.760531,1.41484,0.760531,1.41484,0,0,1,16.1
2014/15,Crystal Palace,h,18,11.54,0.379447,1.30288,0.379447,1.30288,0,0,1,15.17
2014/15,Crystal Palace,a,19,8.05,0.328577,0.405679,0.328577,0.405679,0,1,0,13.49
2014/15,Crystal Palace,a,20,15.54,0.575995,1.38709,0.575995,1.38709,0,1,0,14.3
2014/15,Crystal Palace,h,21,9.5,2.85997,0.919178,2.0988,0.919178,1,0,0,12.65
2014/15,Crystal Palace,a,22,7.39,0.528431,1.08428,0.528431,1.08428,1,0,0,12.1
2014/15,Crystal Palace,h,23,7.64,1.21034,1.35977,1.21034,1.35977,0,0,1,10.92
2014/15,Crystal Palace,a,24,13.29,1.00613,0.7797,1.00613,0.7797,1,0,0,11.64
2014/15,Crystal Palace,h,25,5.94,0.932684,0.444535,0.932684,0.444535,0,1,0,10.54
2014/15,Crystal Palace,h,26,4.33,2.26395,2.08054,2.26395,1.31937,0,0,1,10.23
2014/15,Crystal Palace,a,27,7.74,0.851359,1.28506,0.851359,1.28506,1,0,0,9.1
2014/15,Crystal Palace,a,28,9.54,0.392674,2.22869,0.392674,2.22869,0,0,1,8.9
2014/15,Crystal Palace,h,29,9.1,2.20095,0.266048,2.20095,0.266048,1,0,0,9.0
2014/15,Crystal Palace,a,30,10.61,2.14974,2.07851,1.38861,2.07851,1,0,0,8.51
2014/15,Crystal Palace,h,31,12.87,1.32783,1.1129,1.32783,1.1129,1,0,0,8.84
2014/15,Crystal Palace,a,32,5.15,2.34787,0.617079,2.34787,0.617079,1,0,0,8.62
2014/15,Crystal Palace,h,33,2.44,2.0561,0.698022,2.0561,0.698022,0,0,1,8.1
2014/15,Crystal Palace,h,34,8.18,0.913865,2.37709,0.913865,2.37709,0,0,1,7.59
2014/15,Crystal Palace,a,35,10.19,0.41646,1.5619,0.41646,0.703655,0,0,1,8.02
2014/15,Crystal Palace,h,36,12.6,1.04344,2.29775,1.04344,1.53658,0,0,1,8.84
2014/15,Crystal Palace,a,37,11.53,1.99504,1.11415,1.09706,1.11415,1,0,0,9.22
2014/15,Crystal Palace,h,38,6.19,1.07504,0.118613,1.07504,0.118613,1,0,0,8.89
2014/15,Everton,a,1,11.69,0.613273,1.2783,0.613273,1.2783,0,1,0,
2014/15,Everton,h,2,15.88,1.33429,1.43355,1.33429,1.43355,0,1,0,
2014/15,Everton,h,3,6.19,1.4491,2.02665,1.4491,2.02665,0,0,1,11.25
2014/15,Everton,a,4,19.15,0.807492,0.602059,0.807492,0.602059,1,0,0,13.23
2014/15,Everton,h,5,5.21,2.56122,1.62886,1.80005,0.867691,0,0,1,11.62
2014/15,Everton,a,6,10.85,0.475885,1.5286,0.475885,1.5286,0,1,0,11.5
2014/15,Everton,a,7,13.45,2.13558,1.6239,1.37441,1.6239,0,0,1,11.77
2014/15,Everton,h,8,16.08,1.67016,0.37205,1.67016,0.37205,1,0,0,12.31
2014/15,Everton,a,9,14.23,1.32187,1.55564,1.32187,1.55564,1,0,0,12.53
2014/15,Everton,h,10,4.91,1.14779,0.694419,1.14779,0.694419,0,1,0,11.76
2014/15,Everton,a,11,8.32,1.31898,0.508326,0.557814,0.508326,0,1,0,11.43
2014/15,Everton,h,12,5.29,1.82651,1.11958,1.82651,1.11958,1,0,0,10.37
2014/15,Everton,a,13,13.38,0.934335,1.13109,0.934335,1.13109,0,0,1,11.09
2014/15,Everton,h,14,11.29,1.27965,0.29547,1.27965,0.29547,0,1,0,10.3
2014/15,Everton,a,15,9.43,0.385845,2.2487,0.385845,1.48753,0,0,1,10.72
2014/15,Everton,h,16,8.0,0.747708,0.972265,0.747708,0.972265,1,0,0,10.44
2014/15,Everton,a,17,16.25,0.597999,2.21266,0.597999,2.21266,0,0,1,10.72
2014/15,Everton,h,18,5.52,1.00929,1.39552,1.00929,0.634351,0,0,1,9.66
2014/15,Everton,a,19,18.71,1.07321,1.71345,1.07321,1.71345,0,0,1,10.11
2014/15,Everton,a,20,6.45,0.957698,1.95682,0.957698,1.95682,0,0,1,10.26
2014/15,Everton,h,21,11.45,0.95041,1.50724,0.95041,1.50724,0,1,0,10.58
2014/15,Everton,h,22,7.5,1.4927,0.196316,0.73153,0.196316,0,1,0,10.8
2014/15,Everton,a,23,8.36,1.35977,1.21034,1.35977,1.21034,1,0,0,10.3
2014/15,Everton,h,24,13.23,0.227711,1.03601,0.227711,1.03601,0,1,0,10.49
2014/15,Everton,a,25,10.9,0.706994,0.89846,0.706994,0.89846,0,0,1,10.64
2014/15,Everton,h,26,11.06,2.05032,1.99519,2.05032,1.99519,0,1,0,10.94
2014/15,Everton,a,27,5.9,0.367813,1.39298,0.367813,1.39298,0,0,1,9.91
2014/15,Everton,a,28,8.95,0.418315,1.03921,0.418315,1.03921,0,0,1,10.25
2014/15,Everton,h,29,7.42,2.25807,0.809194,1.49698,0.809194,1,0,0,9.12
2014/15,Everton,a,30,5.59,0.839996,1.39318,0.839996,1.39318,1,0,0,9.04
2014/15,Everton,h,31,8.52,1.02048,0.533646,1.02048,0.533646,1,0,0,8.74
