club_id,season,as_of_utc,attack,defence,league_adjustment,uefa_prior,matches,source,source_published_at_utc,external_uefa_prior_available,external_domestic_strength_available
lille-osc,all-history,2026-09-03T00:00:00Z,-0.20002113389335546,0.06964243305574712,0.0,1.0555555555555556,36,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
liverpool-fc,all-history,2026-09-03T00:00:00Z,0.40870870485400657,-0.2095905849095063,0.0,1.924731182795699,93,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
lokomotiv-moskva,all-history,2026-09-03T00:00:00Z,-0.6567795363890705,0.23052365861183216,0.0,0.5,18,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
m-laga-cf,all-history,2026-09-03T00:00:00Z,0.048202101817877686,-0.4824261492442928,0.0,1.6,10,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
maccabi-haifa,all-history,2026-09-03T00:00:00Z,-0.30010459245033816,0.7114963192281417,0.0,0.5,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
maccabi-tel-aviv,all-history,2026-09-03T00:00:00Z,-1.6863989535702288,0.453667209926042,0.0,0.0,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
malm-ff,all-history,2026-09-03T00:00:00Z,-1.349926716949016,0.6359887667199966,0.0,0.3888888888888889,18,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
manchester-city,all-history,2026-09-03T00:00:00Z,0.4141850246834163,-0.19474407679251174,0.0,1.8695652173913044,115,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
manchester-city-fc,all-history,2026-09-03T00:00:00Z,0.453667209926042,0.16598513747426116,0.0,1.7333333333333334,30,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
manchester-united,all-history,2026-09-03T00:00:00Z,0.11572330269337283,-0.21049243376065102,0.0,1.5806451612903225,62,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
manchester-united-fc,all-history,2026-09-03T00:00:00Z,0.18540322333136275,0.3930425881096072,0.0,0.6666666666666666,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
montpellier-hsc,all-history,2026-09-03T00:00:00Z,-0.43363598507486073,0.18540322333136275,0.0,0.3333333333333333,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
newcastle-united-fc,all-history,2026-09-03T00:00:00Z,0.28768207245178085,-0.037740327982847086,0.0,1.4444444444444444,18,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
nk-maribor,all-history,2026-09-03T00:00:00Z,-0.8597203803857609,0.4620354595965586,0.0,0.5,12,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
o-elul-gala-i,all-history,2026-09-03T00:00:00Z,-0.9932517730102834,0.10536051565782614,0.0,0.0,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
olympiakos-piraeus,all-history,2026-09-03T00:00:00Z,-0.15700374880966492,0.24846135929849955,0.0,1.14,50,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
olympique-de-marseille,all-history,2026-09-03T00:00:00Z,-0.11778303565638351,0.10536051565782614,0.0,1.125,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
olympique-lyonnais,all-history,2026-09-03T00:00:00Z,-0.057158413839948755,0.0,0.0,1.2105263157894737,38,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
olympique-marseille,all-history,2026-09-03T00:00:00Z,-0.4824261492442928,0.12733942237660148,0.0,0.7857142857142857,28,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
pae-olympiakos-sfp,all-history,2026-09-03T00:00:00Z,-0.387115969439968,0.048202101817877686,0.0,1.2,10,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
paphos-fc,all-history,2026-09-03T00:00:00Z,-0.40546510810816444,-0.11778303565638351,0.0,1.125,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
paris-saint-germain,all-history,2026-09-03T00:00:00Z,0.4440977589098913,-0.2091328142446113,0.0,1.883495145631068,103,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
paris-saint-germain-fc,all-history,2026-09-03T00:00:00Z,0.5200422788709147,-0.12825433552367896,0.0,1.9130434782608696,46,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
pfc-ludogorets-razgrad,all-history,2026-09-03T00:00:00Z,-0.45425527227759643,0.4620354595965586,0.0,0.5833333333333334,12,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
psv,all-history,2026-09-03T00:00:00Z,0.190518323998133,0.28768207245178085,0.0,1.2857142857142858,28,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
psv-eindhoven,all-history,2026-09-03T00:00:00Z,-0.13305050778717187,0.29773240830528225,0.0,0.75,20,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
qaraba-a-dam-fk,all-history,2026-09-03T00:00:00Z,0.048202101817877686,0.6489759622468079,0.0,1.0,10,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
qaraba-fk,all-history,2026-09-03T00:00:00Z,-1.2809338454620645,0.32850406697203605,0.0,0.3333333333333333,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
racing-club-de-lens,all-history,2026-09-03T00:00:00Z,-0.43363598507486073,0.10536051565782614,0.0,1.3333333333333333,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
rangers-fc,all-history,2026-09-03T00:00:00Z,-1.2809338454620645,0.7559480817989755,0.0,0.0,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
rb-leipzig,all-history,2026-09-03T00:00:00Z,0.1631800865466525,0.2595111954850846,0.0,1.3888888888888888,54,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
rb-salzburg,all-history,2026-09-03T00:00:00Z,0.10536051565782614,0.3566749439387324,0.0,1.0769230769230769,26,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
real-madrid,all-history,2026-09-03T00:00:00Z,0.5421857462062432,-0.22599662029661632,0.0,2.127659574468085,141,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
real-madrid-cf,all-history,2026-09-03T00:00:00Z,0.5236627705266714,0.04956915602941081,0.0,2.1219512195121952,41,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
real-sociedad,all-history,2026-09-03T00:00:00Z,-1.6863989535702288,0.0183491386681964,0.0,0.16666666666666666,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
real-sociedad-de-f-tbol,all-history,2026-09-03T00:00:00Z,-0.40546510810816444,-0.6567795363890705,0.0,1.5,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
royal-antwerp-fc,all-history,2026-09-03T00:00:00Z,-0.43363598507486073,0.5108256237659906,0.0,0.5,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
royale-union-saint-gilloise,all-history,2026-09-03T00:00:00Z,-0.40546510810816444,0.28768207245178085,0.0,1.125,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
rsc-anderlecht,all-history,2026-09-03T00:00:00Z,-0.6137621513053798,0.43078291609245434,0.0,0.625,24,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sevilla-fc,all-history,2026-09-03T00:00:00Z,-0.09246522767209356,0.06613980250454499,0.0,1.22,50,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
shakhtar-donetsk,all-history,2026-09-03T00:00:00Z,-0.08238110860546764,0.24001740080408343,0.0,1.1111111111111112,72,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sk-slavia-praha,all-history,2026-09-03T00:00:00Z,-0.8109302162163288,0.3930425881096072,0.0,0.375,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sk-sturm-graz,all-history,2026-09-03T00:00:00Z,-0.8109302162163288,0.10536051565782614,0.0,0.75,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sl-benfica,all-history,2026-09-03T00:00:00Z,-0.03595301740875131,0.04956915602941081,0.0,1.3571428571428572,84,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
slavia-praha,all-history,2026-09-03T00:00:00Z,-0.7701082216960737,0.0183491386681964,0.0,0.3333333333333333,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
spartak-moskva,all-history,2026-09-03T00:00:00Z,-0.10594857800938079,0.3930425881096072,0.0,0.75,12,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sport-lisboa-e-benfica,all-history,2026-09-03T00:00:00Z,-0.012422519998557322,0.12733942237660148,0.0,1.0714285714285714,28,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sporting-braga,all-history,2026-09-03T00:00:00Z,-0.30010459245033816,0.2595111954850846,0.0,0.5,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sporting-clube-de-braga,all-history,2026-09-03T00:00:00Z,-0.43363598507486073,0.18540322333136275,0.0,0.6666666666666666,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sporting-clube-de-portugal,all-history,2026-09-03T00:00:00Z,0.10536051565782614,-0.044171218313137424,0.0,1.4545454545454546,22,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
sporting-cp,all-history,2026-09-03T00:00:00Z,0.04473589384139152,0.19888657366864973,0.0,1.0625,32,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
ss-lazio,all-history,2026-09-03T00:00:00Z,-0.40546510810816444,-0.20479441264601314,0.0,1.625,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
ssc-napoli,all-history,2026-09-03T00:00:00Z,0.20499035660666753,0.005277057100843819,0.0,1.5588235294117647,68,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
stade-brestois-29,all-history,2026-09-03T00:00:00Z,-0.387115969439968,0.30603121111997733,0.0,1.3,10,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
stade-rennais,all-history,2026-09-03T00:00:00Z,-0.9932517730102834,0.10536051565782614,0.0,0.16666666666666666,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
tottenham-hotspur,all-history,2026-09-03T00:00:00Z,0.1559127948206574,-0.02922963831493848,0.0,1.5348837209302326,43,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
tottenham-hotspur-fc,all-history,2026-09-03T00:00:00Z,0.3504829736908112,-0.07696104113612844,0.0,2.0,10,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
trabzonspor,all-history,2026-09-03T00:00:00Z,-0.9932517730102834,-0.5877866649021192,0.0,1.1666666666666667,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
valencia-cf,all-history,2026-09-03T00:00:00Z,0.048202101817877686,-0.054982134417353175,0.0,1.3823529411764706,34,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
vfb-stuttgart,all-history,2026-09-03T00:00:00Z,0.03636764417087479,0.28768207245178085,0.0,1.25,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
vfl-wolfsburg,all-history,2026-09-03T00:00:00Z,-0.14595391262307983,-0.09943389698818693,0.0,1.625,16,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
viktoria-plze,all-history,2026-09-03T00:00:00Z,-0.42270691454267056,0.6759053741254392,0.0,0.625,24,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
villarreal-cf,all-history,2026-09-03T00:00:00Z,-0.30010459245033816,0.2595111954850846,0.0,0.7307692307692307,26,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
zenit-st-petersburg,all-history,2026-09-03T00:00:00Z,-0.15106901328985023,0.05657035148839424,0.0,1.1666666666666667,54,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
